Player,Year1,Year2,Year3,Year4,Year5,Year6,Year7,Year8,Year9,Year10,Year11,Retire,NextPercentile
Clarence Scott,0.2727272727272727,0.6715328467153284,0.5747126436781609,0.864321608040201,0.8627450980392157,0.8923766816143498,0.7883817427385892,0.8503937007874016,0.8566176470588235,0.8536585365853658,0.7095709570957096,0,0.8159509202453987
Brandon Lloyd,0.0975609756097561,0.2460701330108827,0.2414001207000603,0.1667659321024419,0.0757211538461538,0.104066985645933,0.2114252061248527,0.3238498789346247,0.3448067632850241,0.2965847813061714,0.1282051282051282,1,
Shaun Ellis,0.7426470588235294,0.8532171581769437,0.9068283343969368,0.9202719406674909,0.9634146341463414,0.9576783555018138,0.9269764634882316,0.8796902918403812,0.9465144230769232,0.9551435406698564,0.952296819787986,0,0.8462469733656174
Keith Bulluck,0.6625,0.8083109919571045,0.9374601148691768,0.9913473423980222,0.9957317073170732,0.998186215235792,0.9945684972842488,0.9863013698630136,0.9675480769230768,0.9515550239234448,0.9093050647820966,1,
Ken Riley,0.696969696969697,0.8394160583941606,0.8448275862068966,0.7688442211055276,0.7745098039215687,0.8968609865470852,0.983402489626556,0.984251968503937,0.9522058823529412,0.5470383275261324,0.6270627062706271,0,0.6196319018404908
Orpheus Roye,0.1775544388609715,0.4576547231270358,0.6692667706708268,0.8669117647058824,0.8304289544235925,0.784301212507977,0.7799752781211372,0.7926829268292683,0.8065296251511487,0.7767048883524442,0.7736748064324003,0,0.6532451923076923
Bertrand Berry,0.4120521172638436,0.5195007800312013,0.75,0.6776139410187667,0.7351627313337588,0.9048207663782448,0.9829268292682928,0.9836759371221282,0.9686179843089922,0.8820726622989875,0.8870192307692307,0,0.867822966507177
Devin Hester,0.3789981894990947,0.391304347826087,0.4056490384615384,0.2200956937799043,0.2208480565371024,0.059322033898305,0.1998792270531401,0.1252246854403834,0.5754323196183662,0.5691394658753709,0.5788856304985337,1,
Corey Chavous,0.2100977198697068,0.4056162246489859,0.736764705882353,0.7754691689008043,0.8640714741544352,0.954264524103832,0.9658536585365852,0.9389359129383312,0.8786964393482197,0.8856462179868969,0.8575721153846154,1,
Champ Bailey,0.6006240249609984,0.8985294117647059,0.9550938337801608,0.9004467134652202,0.8856613102595797,0.8695121951219512,0.966142684401451,0.9903439951719976,0.9934484812388328,0.9645432692307692,0.8941387559808612,0,0.8716136631330977
Bob Nelson,0.1023102310231023,0.0766871165644171,0.091743119266055,0.0851485148514851,0.0965250965250965,0.0517560073937153,0.1966911764705882,0.3020833333333333,0.1698113207547169,0.1651031894934334,0.2589118198874296,1,
J.B. Brown,0.0562851782363977,0.1163227016885553,0.4925650557620817,0.635673624288425,0.7107750472589792,0.6177474402730375,0.4578313253012048,0.271356783919598,0.1465798045602606,0.0717628705148206,0.3742647058823529,1,
Jevon Kearse,0.717628705148206,0.963970588235294,0.9966487935656836,0.95405232929164,0.9505562422744128,0.9371951219512196,0.9691656590084644,0.8986119493059747,0.8481238832638476,0.8209134615384616,0.8032296650717703,1,
Keith Burns,0.2508532423208191,0.253012048192771,0.2395309882747068,0.0684039087947882,0.1856474258970359,0.7125,0.8016085790884718,0.7823867262284621,0.6977750309023486,0.6560975609756098,0.6396614268440145,0,0.6360893180446591
Zach Miller,0.3269803454437165,0.3743990384615384,0.4043062200956938,0.3433014354066985,0.3657243816254417,0.3934040047114252,0.3716707021791767,0.3177966101694915,0.2397342995169082,0.3175554224086279,0.2552176505664877,0,0.2130563798219584
Brandon Marshall,0.5117682558841279,0.5330553901131626,0.5426682692307693,0.3977272727272727,0.3480565371024735,0.3093220338983051,0.3713768115942029,0.3804347826086957,0.408627920910725,0.5497912939773405,0.6112104949314252,0,0.6706231454005934
Les Miller,0.5520833333333334,0.4415094339622641,0.5572232645403377,0.474671669793621,0.6210131332082551,0.6486988847583643,0.5426944971537002,0.497164461247637,0.3276450511945392,0.3442340791738382,0.4958123953098827,1,
Kevin Williams,0.1563517915309446,0.157566302652106,0.5838235294117647,0.4671581769436997,0.5666879387364391,0.7935723114956736,0.9597560975609756,0.971584038694075,0.9553409776704888,0.9428231089934485,0.9609375,0,0.9611244019138756
Johnathan Joseph,0.6065178032589016,0.813579511614056,0.900841346153846,0.9647129186602872,0.9528857479387516,0.9552058111380144,0.9269323671497584,0.926303175554224,0.958855098389982,0.9572700296735904,0.9331378299120234,0,0.8989485981308412
Greg Lloyd,0.020754716981132,0.3714821763602251,0.5422138836772983,0.7448405253283302,0.637546468401487,0.5351043643263758,0.5935727788279773,0.7150170648464164,0.6557659208261618,0.5142378559463987,0.249185667752443,1,
E.J. Junior,0.1012269938650306,0.128440366972477,0.4297029702970297,0.5096525096525096,0.6987060998151571,0.5716911764705882,0.6041666666666666,0.2679245283018868,0.2851782363977486,0.324577861163227,0.3395872420262664,1,
Leslie O'Neal,0.4117647058823529,0.5431547619047619,0.4981132075471698,0.3545966228893058,0.6341463414634146,0.7467166979362101,0.758364312267658,0.6470588235294118,0.6937618147448015,0.7184300341296929,0.6781411359724613,0,0.6750418760469011
Jon Condo,0.4079809410363311,0.4230769230769231,0.4808612440191387,0.6124852767962309,0.5907990314769975,0.6207729468599034,0.5344517675254643,0.56768038163387,0.5543026706231454,0.5454545454545454,0.4877336448598131,1,
Corey Peters,0.5647820965842167,0.7312348668280871,0.7711352657004831,0.8274415817855003,0.7680381633870006,0.7204747774480712,0.6392961876832844,0.5870327102803738,0.7236686390532544,0.7674418604651163,0.7814685314685315,0,0.7274295572167913
Sebastian Janikowski,0.175,0.2794906166219839,0.3356732610082961,0.3331273176761434,0.3018292682926829,0.2073760580411124,0.299939649969825,0.2882668254913639,0.3359375,0.305622009569378,0.2208480565371024,0,0.059322033898305
Duane Bickett,0.4639556377079482,0.8272058823529411,0.980654761904762,0.979245283018868,0.9737335834896812,0.9174484052532832,0.8799249530956847,0.8643122676579925,0.8595825426944972,0.6824196597353497,0.4846416382252559,0,0.2512908777969019
Robert Thomas,0.3419117647058823,0.2513404825737265,0.2916400765794512,0.2348436502871729,0.6372064276885043,0.7036585365853658,0.7654171704957679,0.7235968617984309,0.7355568790946992,0.6538461538461539,0.604066985645933,0,0.2296819787985865
Hunter Smith,0.175,0.3364611260053619,0.3350350989151244,0.3108776266996291,0.449390243902439,0.4540507859733978,0.4610742305371152,0.1882072662298987,0.1604567307692307,0.1770334928229665,0.1012956419316843,1,
Nick Harris,0.1506097560975609,0.211608222490931,0.2190706095353047,0.0446694460988683,0.2253605769230769,0.3779904306220095,0.4140164899882214,0.3855932203389831,0.338768115942029,0.2396644697423607,0.0524746571258199,0,0.0409495548961424
Quintin Mikell,0.5580964153275649,0.677439024390244,0.7007255139056832,0.71997585998793,0.798094103633115,0.9326923076923076,0.9599282296650716,0.9758539458186102,0.9836561743341404,0.9885265700483092,0.9784301977231876,1,
Elvis Dumervil,0.7447193723596862,0.9469922572960096,0.9717548076923076,0.9916267942583732,0.9363957597173144,0.9388619854721548,0.9190821256038648,0.976033553025764,0.9952295766249256,0.9816023738872404,0.972434017595308,0,0.90303738317757
Ty Law,0.409556313993174,0.6333907056798623,0.8241206030150754,0.9299674267100976,0.9438377535101404,0.9602941176470589,0.9309651474530832,0.9393746011486918,0.9703337453646476,0.9396341463414634,0.9703748488512696,0,0.9583584791792396
Larry Foote,0.5213784301212508,0.5494437577255872,0.7585365853658537,0.839782345828295,0.943874471937236,0.9606908874329958,0.9549278846153846,0.9389952153110048,0.8468786808009423,0.812953995157385,0.8526570048309179,0,0.8442180946674656
Michael Strahan,0.0872865275142315,0.3686200378071834,0.7696245733788396,0.8554216867469879,0.9262981574539364,0.9560260586319218,0.982839313572543,0.9897058823529412,0.9993297587131368,0.9987236758136566,0.99938195302843,0,0.9878048780487804
Kris Brown,0.3102941176470588,0.2607238605898123,0.2195277600510529,0.276885043263288,0.3274390243902439,0.3561064087061669,0.2739891369945685,0.1274568195354377,0.1442307692307692,0.2188995215311004,0.2114252061248527,1,
Travis Kirschke,0.188767550702028,0.6279411764705882,0.6581769436997319,0.6132737715379707,0.6501854140914709,0.651829268292683,0.6922611850060459,0.6831623415811708,0.7236450268016676,0.7548076923076923,0.7505980861244019,1,
Samari Rolle,0.254071661237785,0.6396255850234009,0.9485294117647058,0.9671581769436998,0.9253350350989152,0.9171817058096416,0.8689024390243902,0.8893591293833132,0.8388654194327098,0.8213222156045265,0.8269230769230769,1,
