Player,Year1,Year2,Year3,Retire,NextPercentile
Brice Butler,0.1581027667984189,0.5119521912350598,0.7333333333333333,0,0.8030592734225621
Reggie Johnson,0.1886304909560723,0.4423592493297587,0.5795148247978437,0,0.5963541666666666
Matt Suhey,0.1024930747922437,0.1525885558583106,0.4613180515759312,0,0.5365853658536586
Jeff Kinney,0.1214953271028037,0.3446808510638298,0.550561797752809,0,0.6013986013986014
Chad Hall,0.2282157676348547,0.3472222222222222,0.367112810707457,0,0.308300395256917
Daniel Brown,0.1627450980392157,0.4149139579349904,0.5941747572815534,0,0.4269662921348314
Jonathan Hayes,0.0746666666666666,0.3366336633663366,0.7587354409317804,0,0.6826666666666666
Dezmon Briscoe,0.2987551867219917,0.6130952380952381,0.7074569789674953,1,
Garrett Wolfe,0.1721991701244813,0.1381443298969072,0.2458677685950413,1,
Irving Fryar,0.216624685138539,0.696,0.8762376237623762,0,0.961730449251248
James Jackson,0.0889929742388758,0.1368653421633554,0.3925619834710744,0,0.3727087576374745
Jay Ajayi,0.1941176470588235,0.4321223709369025,0.6135922330097088,0,0.5243445692883895
Isaac Byrd,0.1875,0.5056947608200456,0.7126168224299065,0,0.7962529274004684
Garrett Bradbury,0.0313075506445672,0.0432432432432432,0.2949640287769784,1,
Vaughn Hebron,0.0,0.109375,0.1162227602905569,0,0.3086124401913875
Jonathan Grimes,0.1166347992351816,0.274703557312253,0.5039840637450199,0,0.5549019607843138
Devin Smith,0.1490196078431372,0.4282982791586998,0.4116504854368932,0,0.2209737827715356
Keith Byars,0.0618811881188118,0.5158069883527454,0.632,0,0.810880829015544
Mickey Shuler,0.2572614107883817,0.2599206349206349,0.2887189292543021,0,0.0098814229249011
Mardy Gilyard,0.1659751037344398,0.1884920634920635,0.2810707456978967,1,
Bam Morris,0.2630208333333333,0.360774818401937,0.5885167464114832,0,0.5279805352798054
Zachary Dixon,0.0221606648199446,0.2643051771117166,0.5071633237822349,0,0.4471544715447154
Sammy Morris,0.1308411214953271,0.2786885245901639,0.5695364238410596,0,0.5909090909090909
Earnest Gray,0.4632152588555858,0.8254847645429363,0.888283378746594,0,0.9111747851002864
Dustin Lyman,0.0210280373831775,0.0234192037470726,0.2626931567328918,0,0.4524793388429752
Sean Bennett,0.0751708428246013,0.0794392523364486,0.0913348946135831,0,0.1677704194260485
Shaun Mcdonald,0.1053719008264462,0.4439918533604888,0.7300613496932515,0,0.7665952890792291
Charcandrick West,0.0398406374501992,0.292156862745098,0.5468451242829828,0,0.6485436893203883
C J Spiller,0.2510373443983402,0.5337301587301587,0.7705544933078394,0,0.7608695652173914
Stephen Williams,0.1680497925311203,0.1904761904761904,0.1854684512428298,0,0.0395256916996047
Vincent Brown,0.3571428571428571,0.384321223709369,0.6956521739130435,0,0.547808764940239
Rudi Johnson,0.1324503311258278,0.4214876033057851,0.5010183299389002,0,0.5419222903885481
Bryce Brown,0.1108986615678776,0.3043478260869565,0.5398406374501992,0,0.4156862745098039
Jakob Johnson,0.0349907918968692,0.0918918918918919,0.302158273381295,0,0.3314500941619586
Chris Calloway,0.2668463611859838,0.5943152454780362,0.7506702412868632,0,0.8247978436657682
Ryan Switzer,0.1514563106796116,0.449438202247191,0.580110497237569,1,
