Player,Year1,Year2,Year3,Year4,Year5,Year6,Year7,Retire,NextPercentile
Ladell Betts,0.2317880794701986,0.5126582278481012,0.7065868263473054,0.6168831168831169,0.7973856209150327,0.7284768211920529,0.7419354838709677,0,0.5987261146496815
O J Simpson,0.8170731707317073,0.8764044943820225,0.925925925925926,0.975206611570248,0.9928057553956836,0.9928571428571428,0.9934640522875816,0,0.9872611464968152
Steve Sewell,0.2193548387096774,0.5730994152046783,0.8581818181818182,0.8506493506493507,0.8896103896103896,0.8881578947368421,0.8835616438356164,1,
Edgerrin James,0.6832298136645962,0.935483870967742,0.9863013698630136,0.9271523178807948,0.8607594936708861,0.8982035928143712,0.935064935064935,0,0.934640522875817
Brad Muster,0.2012987012987013,0.5,0.8157894736842105,0.9041095890410958,0.8970588235294118,0.8582089552238806,0.8714285714285714,1,
Derrick Ward,0.1103896103896103,0.1111111111111111,0.4768211920529801,0.7225806451612903,0.8726114649681529,0.8376623376623377,0.673469387755102,1,
Greg Pruitt 2,0.4297520661157025,0.7122302158273381,0.95,0.9673202614379084,0.9681528662420382,0.975609756097561,0.9418604651162792,0,0.872093023255814
Lawrence Vickers,0.0457516339869281,0.3708609271523179,0.5806451612903226,0.5095541401273885,0.2987012987012987,0.1020408163265306,0.3396226415094339,1,
Barty Smith,0.0071942446043165,0.3142857142857143,0.5490196078431373,0.7707006369426752,0.7926829268292683,0.7906976744186046,0.5406976744186046,1,
Louie Giammona,0.196078431372549,0.2484076433121019,0.2256097560975609,0.0581395348837209,0.3313953488372093,0.3975903614457831,0.5878787878787879,1,
Franco Harris,0.5462962962962963,0.7355371900826446,0.9640287769784172,0.9571428571428572,0.9738562091503268,0.9490445859872612,0.945121951219512,0,0.9651162790697676
Thurman Thomas,0.1688311688311688,0.6493506493506493,0.9802631578947368,1.0,1.0,0.9850746268656716,0.9857142857142858,0,0.9477124183006536
Tony Nathan,0.2790697674418604,0.6802325581395349,0.933734939759036,0.9030303030303032,0.9050632911392406,0.8518518518518519,0.9483870967741936,0,0.9298245614035088
