Player,Year1,Year2,Year3,Year4,Year5,Year6,Year7,Year8,Year9,Year10,Year11,Year12,Retire,NextPercentile
Dustin Colquitt,0.1390568319226118,0.1804465902232951,0.1715306730196545,0.0865384615384615,0.0873205741626794,0.2373380447585394,0.3190072639225181,0.3085748792270531,0.2516476932294787,0.1621943947525342,0.1489614243323442,0.1196480938416422,0,0.1226635514018691
Na'il Diggs,0.5205882352941177,0.6675603217158177,0.8315252074026803,0.8819530284301607,0.8853658536585366,0.782950423216445,0.7326493663246831,0.7534246575342466,0.7950721153846154,0.7793062200956937,0.7285041224970553,0.6458837772397095,1,
Lemar Parrish,0.8181818181818182,0.978102189781022,1.0,0.9949748743718592,0.8284313725490197,0.4349775784753363,0.3817427385892116,0.7795275590551181,0.8308823529411765,0.9721254355400696,0.9570957095709572,0.852760736196319,0,0.6536697247706422
Tim Johnson,0.1132075471698113,0.1932457786116322,0.3264540337711069,0.4071294559099437,0.3847583643122677,0.3889943074003795,0.2665406427221172,0.2389078498293515,0.2289156626506024,0.1708542713567839,0.1156351791530944,0.0717628705148206,0,0.0235294117647058
Daryl Smith2,0.6475609756097561,0.7908101571946796,0.8871454435727217,0.9219773674806432,0.9026442307692308,0.9336124401913876,0.950530035335689,0.9818401937046004,0.9057971014492754,0.9670461354104254,0.9695885509838998,0.9940652818991098,0,0.9683284457478006
L.P. Ladouceur,0.20036210018105,0.2882668254913639,0.3569711538461538,0.3068181818181818,0.3227326266195524,0.2675544794188862,0.2989130434782608,0.2941881366087477,0.2790697674418604,0.3578635014836795,0.3736070381231671,0.3049065420560747,0,0.3828402366863905
Trent Williams,0.1012956419316843,0.2052058111380145,0.2228260869565217,0.4062312762133013,0.3619558735837805,0.3940652818991098,0.2439882697947214,0.2803738317757009,0.1893491124260355,0.1878354203935599,0.1165501165501165,0.1765382403680276,0,0.1682577565632458
Joe Phillips,0.5029761904761905,0.5566037735849056,0.649155722326454,0.4371482176360225,0.4596622889305816,0.4591078066914498,0.5123339658444023,0.4650283553875236,0.5631399317406144,0.5456110154905336,0.4773869346733668,0.2442996742671009,0,0.1684867394695788
Rashean Mathis,0.6600741656365884,0.8286585365853658,0.9474002418379686,0.9746529873264936,0.9594997022036926,0.9735576923076924,0.9539473684210528,0.9623085983510012,0.8650121065375302,0.7657004830917874,0.6932294787297784,0.7841383422778772,0,0.8231454005934719
Carl Lee,0.4910891089108911,0.583011583011583,0.7707948243992606,0.7242647058823529,0.8377976190476191,0.9415094339622642,0.9136960600375236,0.9080675422138836,0.6022514071294559,0.6988847583643123,0.7229601518026565,0.7088846880907372,1,
Kevin Greene,0.1580882352941176,0.5699404761904762,0.7396226415094339,0.8442776735459663,0.8667917448405253,0.7166979362101313,0.5631970260223048,0.5047438330170778,0.6748582230623819,0.7320819112627986,0.7917383820998278,0.7185929648241206,0,0.8175895765472313
Danny Amendola,0.1919856459330143,0.2597173144876325,0.2294188861985472,0.1280193236714976,0.0575194727381665,0.0524746571258199,0.0409495548961424,0.1008797653958944,0.2248831775700934,0.2775147928994083,0.2468694096601073,0.0571095571095571,0,0.0862564692351926
Warren Sapp,0.4044368600682594,0.6351118760757315,0.8777219430485762,0.9055374592833876,0.9609984399375976,0.9904411764705884,0.9819034852546916,0.971282705807275,0.9357231149567368,0.9182926829268292,0.8778718258766627,0.8925769462884732,0,0.9243597379392496
Mel Blount,0.1616161616161616,0.4160583941605839,0.7068965517241379,0.8743718592964824,0.9264705882352942,0.9865470852017936,0.979253112033195,0.9921259842519684,0.9558823529411764,0.8710801393728222,0.8184818481848185,0.8865030674846626,0,0.8715596330275229
Corey Graham,0.4502680166765932,0.7181490384615384,0.7446172248803827,0.7626619552414605,0.7239709443099274,0.8254830917874396,0.9179149191132414,0.9451401311866428,0.9774480712166173,0.9665689149560116,0.9544392523364486,0.8940828402366864,1,
Andy Dalton,0.1658595641646489,0.1817632850241546,0.3283403235470341,0.3172331544424567,0.3786350148367952,0.3595307917888563,0.3405373831775701,0.3165680473372781,0.3476446034585569,0.2651515151515151,0.2788959171937895,0.2559665871121718,1,
Bryan Cox1,0.0806754221388367,0.3828996282527881,0.5199240986717267,0.5311909262759924,0.5477815699658704,0.4440619621342513,0.4840871021775544,0.4104234527687296,0.4976599063962558,0.8191176470588235,0.8089812332439679,0.763241863433312,0,0.5914709517923362
Matthew Stafford,0.0873205741626794,0.1012956419316843,0.059322033898305,0.1630434782608695,0.3043738765727981,0.3786523553965414,0.3507418397626112,0.3214076246334311,0.2184579439252336,0.1520710059171597,0.182468694096601,0.0571095571095571,0,0.0862564692351926
Calvin Pace,0.5896168108776267,0.7402439024390244,0.7666263603385731,0.79963789981895,0.8767123287671232,0.9795673076923076,0.9922248803827752,0.9864546525323912,0.9642857142857144,0.928743961352657,0.9478729778310364,0.9039952295766248,0,0.917507418397626
Cris Dishman,0.3058161350844278,0.5966228893058161,0.9155722326454032,0.9368029739776952,0.9753320683111956,0.9508506616257087,0.9761092150170648,0.8433734939759037,0.8844221105527639,0.8517915309446255,0.953198127925117,0.9323529411764706,1,
Russell Wilson,0.1068840579710145,0.4931096464949071,0.4770423375074538,0.4783382789317507,0.3818181818181818,0.5549065420560748,0.5366863905325444,0.5259391771019678,0.1695804195804195,0.1765382403680276,0.0972553699284009,0.079145728643216,1,
Mark Fields1,0.0767918088737201,0.1101549053356282,0.3517587939698492,0.4625407166123778,0.5647425897035881,0.7816176470588235,0.8190348525469169,0.9049138481174218,0.8504326328800988,0.8621951219512195,0.6983071342200725,0.6964393482196741,1,
Simeon Rice,0.4819277108433735,0.6850921273031826,0.8859934853420195,0.9594383775351014,0.9808823529411764,0.9812332439678284,0.9878749202297384,0.9987639060568604,0.9981707317073172,0.9993954050785974,0.9734459867229932,0.9398451459201906,1,
London Fletcher,0.3790951638065523,0.8816176470588235,0.979892761394102,0.994256541161455,0.9851668726823238,0.9798780487804878,0.9770253929866988,0.992154496077248,0.991661703394878,0.9813701923076924,0.9623205741626796,0.9782096584216724,0,0.9927360774818402
Ty Law,0.409556313993174,0.6333907056798623,0.8241206030150754,0.9299674267100976,0.9438377535101404,0.9602941176470589,0.9309651474530832,0.9393746011486918,0.9703337453646476,0.9396341463414634,0.9703748488512696,0.9583584791792396,0,0.9714115544967242
Jon Dorenbos,0.0797280593325092,0.401219512195122,0.4316807738814994,0.4405552202776101,0.3948779035139964,0.3317307692307692,0.3809808612440191,0.3627797408716137,0.4073849878934624,0.4317632850241545,0.4218094667465548,0.3601669648181276,0,0.3590504451038576
Mike Pitts,0.4475247524752475,0.6003861003861004,0.7966728280961183,0.7996323529411765,0.8050595238095238,0.6622641509433962,0.6135084427767354,0.5797373358348968,0.7054409005628518,0.5204460966542751,0.6527514231499051,0.6011342155009451,1,
Albert Lewis,0.4316831683168317,0.6312741312741312,0.9408502772643254,0.9613970588235294,0.9419642857142856,0.7075471698113207,0.6923076923076923,0.726078799249531,0.7598499061913696,0.4944237918215613,0.74573055028463,0.6975425330812854,0,0.7525597269624573
Greg Townsend,0.2376237623762376,0.3127413127413127,0.4584103512014787,0.4889705882352941,0.6592261904761905,0.7867924528301887,0.7936210131332082,0.8855534709193246,0.8161350844277674,0.7657992565055762,0.5882352941176471,0.3459357277882797,1,
Karlos Dansby,0.7573170731707317,0.944981862152358,0.9831019915509958,0.9946396664681358,0.994591346153846,0.9892344497607656,0.972909305064782,0.9322033898305084,0.9184782608695652,0.9796285200718994,0.979129397734049,0.9982195845697328,0,0.9812316715542522
