Player,Year1,Year2,Year3,Year4,Year5,Year6,Retire,NextPercentile
Seth Roberts,0.3901960784313725,0.7151051625239006,0.8038834951456311,0.8127340823970037,0.8084714548802947,0.7621621621621621,1,
Damiere Byrd,0.2676864244741874,0.4854368932038835,0.6217228464419475,0.6648250460405156,0.736936936936937,0.8219424460431655,0,0.832391713747646
Ernest Wilford,0.3279022403258655,0.7443762781186094,0.867237687366167,0.8962655601659751,0.7917525773195876,0.7128099173553719,0,0.4149377593360996
Legarrette Blount,0.0435684647302904,0.1130952380952381,0.1261950286806883,0.3399209486166007,0.3824701195219123,0.515686274509804,0,0.4627151051625239
Jermaine Wiggins,0.2570093457943925,0.5831381733021077,0.6026490066225165,0.5578512396694215,0.6802443991853361,0.8241308793456033,0,0.8522483940042827
Dexter Mccluster,0.2883817427385892,0.5297619047619048,0.734225621414914,0.8043478260869565,0.7848605577689243,0.7372549019607844,0,0.5717017208413002
Kevin White,0.2122370936902485,0.2446601941747573,0.5074906367041199,0.3296500920810313,0.2486486486486486,0.2805755395683453,0,0.5856873822975518
Brandon Jackson,0.2199170124481327,0.4329896907216495,0.6714876033057852,0.7448132780082988,0.5833333333333334,0.5564053537284895,1,
Michael Irvin,0.5173333333333333,0.7772020725388601,0.8840970350404312,0.917312661498708,0.9892761394101875,1.0,0,1.0
Bernie Parmalee,0.0161725067385444,0.3125,0.4963680387409201,0.5717703349282297,0.6180048661800487,0.5216346153846154,0,0.5261958997722096
Fred Mccrary,0.0944309927360774,0.0669856459330143,0.121654501216545,0.0625,0.3416856492027335,0.4789719626168224,0,0.5784543325526932
Detron Smith,0.097323600973236,0.2644230769230769,0.4305239179954442,0.455607476635514,0.3489461358313817,0.4988962472406181,1,
Marcel Shipp,0.4370860927152318,0.6322314049586777,0.5763747454175153,0.5132924335378323,0.4218415417558886,0.5352697095435685,1,
Ronnie Harris,0.0651041666666666,0.0750605326876513,0.215311004784689,0.4014598540145985,0.6225961538461539,0.6287015945330297,1,
Jay Feely,0.0023419203747072,0.0,0.0020661157024793,0.0794297352342158,0.065439672801636,0.0599571734475374,1,
Eddie Kennison,0.5430622009569378,0.7639902676399026,0.8389423076923077,0.8610478359908884,0.866822429906542,0.8875878220140515,0,0.911699779249448
Brandon Pettigrew,0.2851239669421487,0.7178423236514523,0.8948412698412699,0.8718929254302104,0.7964426877470355,0.5876494023904383,0,0.5803921568627451
Michael Robinson,0.1199143468950749,0.3402489626556016,0.5938144329896907,0.5351239669421488,0.4336099585062241,0.367063492063492,0,0.5258126195028681
Marc Edwards,0.0681265206812652,0.3870192307692308,0.6127562642369021,0.6098130841121495,0.5245901639344263,0.4746136865342163,0,0.6115702479338843
Dwight Clark,0.2670299727520436,0.7922437673130194,0.9591280653950952,0.997134670487106,0.994579945799458,0.9949622166246852,0,0.9733333333333334
Emile Harry,0.4306930693069307,0.5723793677204659,0.6693333333333333,0.6088082901554405,0.8301886792452831,0.8552971576227391,0,0.7962466487935657
Billy Joe Dupree,0.5531914893617021,0.8127340823970037,0.8636363636363636,0.878125,0.8459119496855346,0.9109792284866468,0,0.8637602179836512
Troy Drayton,0.3638814016172507,0.6302083333333334,0.7699757869249395,0.7440191387559809,0.7858880778588808,0.8173076923076923,0,0.8154897494305239
Tommy Vardell,0.2117962466487935,0.3584905660377358,0.5286458333333334,0.4116222760290557,0.4090909090909091,0.4720194647201946,0,0.6490384615384616
Jim Mitchell 2,0.9625,0.963157894736842,0.9579439252336448,0.9404255319148936,0.8951310861423221,0.9125874125874126,0,0.871875
Sam Cunningham,0.2808510638297872,0.5842696629213483,0.7342657342657343,0.784375,0.8207547169811321,0.798219584569733,0,0.782016348773842
Rabih Abdullah,0.0318906605922551,0.1448598130841121,0.4660421545667447,0.3509933774834437,0.4152892561983471,0.2545824847250509,1,
Chris Thompson,0.1215139442231075,0.3549019607843137,0.615678776290631,0.7941747572815534,0.8258426966292135,0.8434622467771639,0,0.6882882882882883
James Stewart,0.2542372881355932,0.4545454545454545,0.6690997566909975,0.6706730769230769,0.6195899772209568,0.5911214953271028,0,0.6697892271662763
Jabar Gaffney,0.4657836644591611,0.7128099173553719,0.8818737270875764,0.8834355828220859,0.8565310492505354,0.8340248962655602,0,0.8288659793814434
David Thomas,0.2462526766595289,0.5,0.6515463917525773,0.6900826446280992,0.7033195020746889,0.6091269841269841,0,0.5391969407265774
Walter Payton,0.4160839160839161,0.56875,0.7452830188679245,0.8189910979228486,0.8528610354223434,0.853185595567867,0,0.6839237057220708
Brian Westbrook,0.130242825607064,0.5619834710743802,0.8105906313645621,0.916155419222904,0.9293361884368307,0.9439834024896264,0,0.9195876288659792
John Riggins,0.5368421052631579,0.6495327102803738,0.7361702127659574,0.7228464419475655,0.7412587412587412,0.746875,0,0.710691823899371
Steve Schubert,0.2322097378277153,0.3636363636363636,0.515625,0.4968553459119497,0.4836795252225519,0.438692098092643,1,
Jim Smith,0.2389937106918239,0.400593471810089,0.6294277929155313,0.7950138504155124,0.8937329700272479,0.9340974212034384,0,0.8211382113821138
Donald Driver,0.1731207289293849,0.5747663551401869,0.7330210772833724,0.9050772626931568,0.9173553719008264,0.9714867617107944,0,0.9795501022494888
Lenvil Elliott,0.1489361702127659,0.4569288389513108,0.6398601398601399,0.725,0.7358490566037735,0.6498516320474778,0,0.6566757493188011
Terrance Williams,0.5,0.8007968127490039,0.931372549019608,0.9254302103250478,0.916504854368932,0.8089887640449438,1,
Brandon Stokley,0.3690205011389522,0.6378504672897196,0.8056206088992974,0.8167770419426048,0.7975206611570248,0.8859470468431772,0,0.9141104294478528
Mike Young,0.0586666666666666,0.2326732673267326,0.6239600665557404,0.368,0.6373056994818653,0.7196765498652291,0,0.8733850129198967
Derek Hagan,0.2676659528907923,0.6203319502074689,0.7422680412371134,0.7107438016528925,0.6659751037344398,0.6884920634920635,0,0.7170172084130019
Mike Wallace,0.5082644628099173,0.8775933609958506,0.9861111111111112,0.9866156787762906,0.9683794466403162,0.9482071713147412,0,0.9352941176470588
Vincent Brisby,0.4393530997304582,0.7838541666666666,0.9564164648910412,0.8732057416267942,0.7688564476885644,0.5793269230769231,0,0.7539863325740319
Dez White,0.0467289719626168,0.468384074941452,0.7483443708609272,0.878099173553719,0.8778004073319755,0.8179959100204499,1,
Leslie Shepherd,0.0546875,0.5472154963680388,0.7822966507177034,0.8978102189781022,0.9110576923076924,0.8929384965831435,0,0.8761682242990654
