Player,Year1,Year2,Year3,Year4,Year5,Year6,Year7,Year8,Year9,Year10,Year11,Year12,Retire,NextPercentile
Rod Smith 2,0.3946731234866828,0.6411483253588517,0.8832116788321168,0.939903846153846,0.979498861047836,0.983644859813084,0.990632318501171,0.9911699779249448,0.9793388429752066,0.9755600814663952,0.9734151329243352,0.925053533190578,1,
Jerricho Cotchery,0.1914460285132382,0.4887525562372188,0.854389721627409,0.9377593360995852,0.9649484536082474,0.9483471074380164,0.9294605809128632,0.878968253968254,0.7839388145315488,0.8399209486166008,0.8645418326693227,0.9098039215686274,1,
Jonathan Hayes,0.0746666666666666,0.3366336633663366,0.7587354409317804,0.6826666666666666,0.6917098445595855,0.555256064690027,0.5426356589147286,0.4906166219839142,0.6199460916442049,0.5338541666666666,0.576271186440678,0.3157894736842105,1,
Tony Martin,0.1886792452830188,0.483204134366925,0.739946380697051,0.8032345013477089,0.9270833333333334,0.9443099273607748,0.9784688995215312,0.975669099756691,0.9951923076923076,0.9908883826879272,0.9602803738317756,0.9227166276346604,1,
Sammy Morris,0.1308411214953271,0.2786885245901639,0.5695364238410596,0.5909090909090909,0.6211812627291242,0.5357873210633947,0.449678800856531,0.3962655601659751,0.4824742268041237,0.609504132231405,0.6327800829875518,0.5099206349206349,1,
Mel Gray 2,0.7157894736842105,0.7149532710280374,0.902127659574468,0.9213483146067416,0.9895104895104896,0.99375,0.9937106918238994,0.973293768545994,0.9564032697547684,0.9141274238227148,0.8583106267029973,0.7335243553008596,1,
Dave Moore,0.1662198391420911,0.4150943396226415,0.59375,0.5907990314769975,0.631578947368421,0.6885644768856448,0.7524038461538461,0.7517084282460137,0.7453271028037384,0.7845433255269321,0.739514348785872,0.6425619834710744,0,0.5295315682281059
Frank Lewis,0.2052631578947368,0.602803738317757,0.8170212765957446,0.902621722846442,0.8846153846153846,0.8625,0.8270440251572327,0.8991097922848664,0.9455040871934604,0.9584487534626038,0.9645776566757494,0.9484240687679084,0,0.94579945799458
Stanley Morgan 2,0.5094339622641509,0.8397626112759644,0.9673024523160764,0.9861495844875346,0.9918256130790192,0.988538681948424,0.9701897018970188,0.9596977329974812,0.9306666666666666,0.9876237623762376,0.995008319467554,0.9786666666666668,0,0.9300518134715026
Marvin Harrison,0.5980861244019139,0.8491484184914841,0.9519230769230768,0.9817767653758542,0.9953271028037384,1.0,1.0,1.0,1.0,0.9959100204498976,0.9978586723768736,0.9730290456431536,0,0.934020618556701
Malcom Floyd,0.2097759674134419,0.1983640081799591,0.4903640256959314,0.5269709543568465,0.7793814432989691,0.8615702479338843,0.9232365145228216,0.9523809523809524,0.9445506692160612,0.9189723320158104,0.9183266932270916,0.8823529411764706,1,
Eric Moulds,0.3349282296650718,0.5255474452554745,0.8870192307692307,0.9544419134396356,0.9929906542056076,0.97423887587822,0.9823399558498896,0.975206611570248,0.9775967413441956,0.948875255623722,0.91220556745182,0.8879668049792531,1,
