Player,Year1,Year2,Year3,Year4,Year5,Year6,Year7,Year8,Year9,Year10,Year11,Year12,Retire,NextPercentile
Mickey Shuler 2,0.172106824925816,0.4604904632152589,0.6481994459833795,0.4686648501362397,0.5787965616045845,0.6043360433604336,0.8916876574307305,0.9173333333333332,0.9455445544554456,0.9234608985024958,0.888,0.8393782383419689,0,0.8221024258760108
Franco Harris,0.3364485981308411,0.4297872340425532,0.6479400749063671,0.6573426573426573,0.715625,0.610062893081761,0.5222551928783383,0.5776566757493188,0.6648199445983379,0.659400544959128,0.673352435530086,0.6260162601626016,0,0.5037783375314862
Kyle Rudolph,0.3214285714285714,0.6998087954110899,0.841897233201581,0.7928286852589641,0.7666666666666667,0.8891013384321224,0.933980582524272,0.9456928838951312,0.9060773480662984,0.8522522522522522,0.7985611510791367,0.6459510357815442,1,
James Thrash,0.2019464720194647,0.5,0.6947608200455581,0.7733644859813084,0.8711943793911007,0.913907284768212,0.9008264462809916,0.8391038696537678,0.8098159509202454,0.7237687366167024,0.6846473029045643,0.6268041237113402,1,
Brandon Lloyd,0.3677685950413223,0.6863543788187373,0.8752556237218814,0.8736616702355461,0.7572614107883817,0.6639175257731958,0.6177685950413223,0.9273858921161826,0.9543650793650794,0.988527724665392,0.8438735177865613,0.7788844621513944,1,
Ted Ginn,0.3817427385892116,0.6865979381443299,0.8388429752066116,0.7842323651452282,0.7341269841269841,0.5315487571701721,0.7114624505928854,0.6992031872509961,0.8941176470588236,0.9101338432122372,0.9689320388349516,0.900749063670412,0,0.8784530386740331
Anquan Boldin,0.7417355371900827,0.8472505091649695,0.9754601226993864,0.9657387580299786,0.9813278008298756,0.9711340206185568,0.9380165289256198,0.946058091286307,0.9384920634920636,0.948374760994264,0.9723320158102768,0.9800796812749004,0,0.9745098039215686
Terrell Owens,0.4019138755980861,0.7907542579075426,0.9447115384615384,0.9635535307517084,0.969626168224299,0.9882903981264636,0.9977924944812362,0.9979338842975206,0.9959266802443992,0.9897750511247444,0.9892933618843684,0.995850622406639,0,1.0
Henry Ellard,0.2222222222222222,0.6624685138539043,0.888,0.9207920792079208,0.956738768718802,0.9706666666666668,0.9974093264248703,0.9973045822102424,0.9948320413436692,0.9839142091152816,0.9757412398921832,0.984375,0,0.9830508474576272
Keenan Mccardell,0.1581769436997319,0.5633423180592992,0.7526041666666666,0.8450363196125908,0.9138755980861244,0.9562043795620438,0.9735576923076924,0.9726651480637812,0.9462616822429908,0.9414519906323184,0.9381898454746136,0.962809917355372,0,0.9348268839103868
Deion Sanders,0.0025906735751295,0.0,0.2041343669250646,0.4262734584450402,0.633423180592992,0.4713541666666667,0.4915254237288136,0.4282296650717703,0.389294403892944,0.5048076923076923,0.3804100227790433,0.3551401869158878,0,0.0702576112412178
Ed West,0.2644836272040302,0.3866666666666666,0.6732673267326733,0.8119800332778702,0.72,0.7564766839378239,0.7628032345013477,0.8087855297157622,0.6434316353887399,0.5660377358490566,0.6171875,0.7191283292978208,0,0.6842105263157895
Kassim Osgood,0.4380165289256198,0.6924643584521385,0.7995910020449898,0.5674518201284796,0.3775933609958506,0.134020618556701,0.378099173553719,0.3941908713692946,0.5238095238095238,0.3575525812619503,0.2707509881422925,0.1115537848605577,1,
Herschel Walker,0.556930693069307,0.8935108153078203,0.9333333333333332,0.8860103626943006,0.7574123989218329,0.6537467700258398,0.613941018766756,0.7358490566037735,0.8411458333333334,0.8208232445520581,0.7655502392344498,0.683698296836983,1,
Warrick Dunn,0.3600973236009732,0.6586538461538461,0.8382687927107062,0.8247663551401869,0.8594847775175644,0.8410596026490066,0.8305785123966942,0.7922606924643585,0.7382413087934561,0.6745182012847966,0.6556016597510373,0.7237113402061855,1,
Nat Moore,0.6142322097378277,0.8881118881118881,0.95625,0.9842767295597484,0.9910979228486648,0.989100817438692,0.9473684210526316,0.9209809264305178,0.8252148997134671,0.8455284552845529,0.8236775818639799,0.9093333333333332,0,0.9133663366336634
Bobby Engram,0.284688995215311,0.5182481751824818,0.8317307692307693,0.8747152619589977,0.8551401869158879,0.7822014051522248,0.7660044150110376,0.8739669421487604,0.879837067209776,0.8875255623721882,0.8458244111349036,0.9045643153526972,0,0.8762886597938144
Adrian Peterson,0.3755186721991701,0.5402061855670103,0.7665289256198347,0.7572614107883817,0.7678571428571429,0.6826003824091779,0.5395256916996047,0.4621513944223107,0.4549019607843137,0.4168260038240918,0.3902912621359223,0.4101123595505618,0,0.5340699815837937
