Player,Year1,Year2,Year3,Retire,NextPercentile
Bo Robinson,0.2267441860465116,0.1511627906976744,0.180722891566265,0,0.3878787878787879
Jordan Wilkins,0.3297872340425531,0.6134020618556701,0.8093023255813954,0,0.5504587155963303
Fred Jackson,0.23841059602649,0.6064516129032258,0.8471337579617835,0,0.8571428571428571
Paul Ott Carruth,0.4035087719298245,0.7490909090909091,0.6233766233766234,1,
Larry Smith 3,0.7073170731707317,0.797752808988764,0.8333333333333334,0,0.8016528925619835
Chris Carson,0.2295081967213114,0.5957446808510638,0.7731958762886598,0,0.8511627906976744
Thomas Jones,0.1419354838709677,0.3150684931506849,0.5496688741721855,0,0.6455696202531646
Nyheim Hines,0.2819148936170212,0.5154639175257731,0.827906976744186,0,0.8669724770642202
Richie James,0.134020618556701,0.1255813953488372,0.146788990825688,0,0.2745098039215686
Daniel Thomas,0.2312925170068027,0.3962264150943396,0.6964285714285714,0,0.6491228070175439
Gene Lang,0.2839506172839506,0.5096774193548387,0.7017543859649122,0,0.8145454545454546
Boobie Clark,0.5371900826446281,0.7338129496402878,0.9071428571428573,0,0.9019607843137256
Jameel Cook,0.047945205479452,0.0463576158940397,0.1139240506329113,0,0.0419161676646706
Steve Atkins,0.2558139534883721,0.377906976744186,0.5,1,
Matt Asiata,0.0377358490566037,0.2083333333333333,0.5672514619883041,0,0.6201117318435754
Jeff Cothran,0.1,0.3071895424836601,0.4295774647887324,1,
Tom Rathman,0.2280701754385964,0.7163636363636363,0.7922077922077922,0,0.8701298701298701
Freeman Mcneil,0.216867469879518,0.8,0.8417721518987342,0,0.9629629629629628
Senorise Perry,0.1256830601092896,0.1063829787234042,0.1597938144329896,0,0.1488372093023255
Bilal Powell,0.0204081632653061,0.3144654088050314,0.6190476190476191,0,0.7368421052631579
Carl Garrett,0.6951219512195121,0.8539325842696629,0.8888888888888888,0,0.9090909090909092
Mike Hogan,0.2418300653594771,0.5414012738853503,0.7804878048780488,0,0.6569767441860465
Ted Brown,0.313953488372093,0.7732558139534884,0.9518072289156626,0,0.993939393939394
Justin Watson 2,0.0434782608695652,0.3806451612903225,0.2808219178082192,1,
Brian Hill,0.1639344262295081,0.4468085106382978,0.6649484536082474,0,0.772093023255814
Danny Woodhead,0.1528662420382165,0.512987012987013,0.7142857142857143,0,0.8805031446540881
Amari Cooper,0.3072625698324022,0.6344086021505376,0.9344262295081968,0,0.9840425531914894
Arlen Harris,0.2088607594936709,0.3712574850299401,0.4545454545454545,0,0.4705882352941176
Bob Hudson,0.0648148148148148,0.2066115702479339,0.4820143884892086,1,
Equanimeous St Brown,0.2180851063829787,0.2268041237113402,0.5395348837209303,0,0.5642201834862385
Donnell Bennett,0.0928571428571428,0.2875816993464052,0.4225352112676056,0,0.4466666666666666
Alex Collins,0.0967741935483871,0.4590163934426229,0.574468085106383,0,0.5103092783505154
Will Johnson,0.1572327044025157,0.1726190476190476,0.2280701754385964,0,0.1731843575418994
Lamont Warren,0.2428571428571428,0.477124183006536,0.647887323943662,0,0.5333333333333333
Gerald Everett,0.5300546448087432,0.8191489361702128,0.8556701030927835,0,0.7813953488372093
William Green 2,0.271523178807947,0.3354430379746835,0.5389221556886228,0,0.4285714285714285
Gerry Ellis,0.3953488372093023,0.7530120481927711,0.8363636363636363,0,0.7721518987341772
Brad Hoover,0.1870967741935484,0.3424657534246575,0.6158940397350994,0,0.620253164556962
James Develin,0.3333333333333333,0.4035087719298245,0.4078212290502793,0,0.0806451612903225
Heath Sherman,0.1623376623376623,0.4671052631578947,0.5273972602739726,0,0.6176470588235294
Royce Freeman,0.2712765957446808,0.5515463917525774,0.7255813953488373,0,0.6559633027522935
Tom Brown 2,0.1745454545454545,0.0389610389610389,0.2792207792207792,1,
Derek Loville,0.0131578947368421,0.0547945205479452,0.0955882352941176,0,0.0373134328358208
Greg Bell,0.4876543209876543,0.7419354838709677,0.9415204678362572,0,0.8836363636363637
Ito Smith,0.2074468085106383,0.4484536082474227,0.627906976744186,0,0.6238532110091743
Antone Smith,0.0064935064935064,0.0068027210884353,0.0062893081761006,0,0.7083333333333334
Lynn Bowden,0.1906976744186046,0.2110091743119266,0.1862745098039215,0,0.2429378531073446
Qadree Ollison,0.0721649484536082,0.2837209302325581,0.4082568807339449,1,
Sherman Smith 2,0.4509803921568627,0.8152866242038217,0.951219512195122,0,0.9883720930232558
Horace Belton,0.1036585365853658,0.3197674418604651,0.4941860465116279,1,
Warren Williams,0.1948051948051948,0.3766233766233766,0.7763157894736842,0,0.7671232876712328
Juwan Thompson,0.2807017543859649,0.3966480446927374,0.5,1,
Bo Cornell,0.0674157303370786,0.1851851851851851,0.2892561983471074,1,
Josh Ferguson,0.1021505376344086,0.1912568306010929,0.2393617021276596,0,0.2835051546391752
Ted Mcknight,0.2101910828025477,0.5121951219512195,0.7848837209302325,0,0.8895348837209303
A B Brown,0.1298701298701298,0.3947368421052631,0.5,0,0.4191176470588235
Tony Paige,0.3271604938271605,0.6258064516129033,0.7192982456140351,0,0.7054545454545454
