Player,Year1,Year2,Year3,Year4,Year5,Year6,Year7,Year8,Retire,NextPercentile
Bobby Massie,0.1282051282051282,0.3008902077151335,0.33841642228739,0.2774532710280374,0.0449704142011834,0.1067382230172927,0.1695804195804195,0.2415181138585393,1,
Kevin Bentley,0.601148691767709,0.745982694684796,0.8213414634146341,0.8004836759371221,0.7404948702474351,0.6742108397855867,0.7397836538461539,0.7117224880382775,0,0.7956419316843345
Frank LeMaster,0.7309417040358744,0.7219917012448133,0.7204724409448819,0.4742647058823529,0.4390243902439024,0.5511551155115512,0.3006134969325153,0.3256880733944954,1,
Ronde Barber,0.5684039087947883,0.734789391575663,0.9705882352941176,0.992627345844504,0.9917038927887684,0.9901112484548824,0.9865853658536584,0.992744860943168,0,0.9951719975859988
Jim Ryan,0.2607260726072607,0.1717791411042944,0.1009174311926605,0.0118811881188118,0.4073359073359073,0.5471349353049908,0.6452205882352942,0.7589285714285714,0,0.7679245283018868
Fred Strickland,0.2566037735849056,0.5553470919324578,0.6303939962476548,0.6041275797373359,0.1821561338289963,0.1764705882352941,0.3553875236294896,0.3720136518771331,0,0.6024096385542169
Corey Moore,0.4970588235294118,0.4912868632707775,0.4920229738353542,0.0210135970333745,0.0274390243902439,0.0326481257557436,0.0325890162945081,0.0327575938058368,0,0.0372596153846153
Vinny Ciurciu,0.3411619283065513,0.5554878048780488,0.5882708585247884,0.6107423053711527,0.5699821322215605,0.5558894230769231,0.4868421052631579,0.4935217903415783,1,
Drew Stanton,0.0873205741626794,0.1012956419316843,0.059322033898305,0.0440821256038647,0.0437387657279808,0.1282051282051282,0.1845697329376854,0.1941348973607038,0,0.1664719626168224
Aeneas Williams,0.6097560975609756,0.828996282527881,0.922201138519924,0.9224952741020794,0.969283276450512,0.982788296041308,0.9932998324958124,0.9364820846905536,0,0.8486739469578783
Lardarius Webb,0.55622009569378,0.7220259128386337,0.9146489104116224,0.929951690821256,0.9346914319952068,0.8217054263565892,0.801780415430267,0.8052785923753666,0,0.8627336448598131
Clarence Scott,0.2727272727272727,0.6715328467153284,0.5747126436781609,0.864321608040201,0.8627450980392157,0.8923766816143498,0.7883817427385892,0.8503937007874016,0,0.8566176470588235
Daryl Smith2,0.6475609756097561,0.7908101571946796,0.8871454435727217,0.9219773674806432,0.9026442307692308,0.9336124401913876,0.950530035335689,0.9818401937046004,0,0.9057971014492754
Paris Lenon,0.4824505424377792,0.5667490729295427,0.6134146341463415,0.722490931076179,0.8098974049487024,0.940440738534842,0.9615384615384616,0.9629186602870812,0,0.9481743227326266
Bill Pickel,0.2534653465346534,0.5984555984555985,0.8280961182994455,0.9080882352941176,0.8764880952380952,0.8716981132075472,0.8217636022514071,0.7692307692307693,0,0.4915572232645403
Dwayne Bowe,0.1620011911852293,0.2439903846153846,0.2793062200956938,0.2208480565371024,0.137409200968523,0.2638888888888889,0.2648292390653086,0.1890280262373285,0,0.1643916913946587
Jessie Armstead,0.2561669829222011,0.4952741020793951,0.7218430034129693,0.8674698795180723,0.9530988274706867,0.98371335504886,0.9968798751950078,0.9882352941176472,0,0.9664879356568364
Gary Johnson,0.4852941176470588,0.4425087108013937,0.4851485148514851,0.3098159509202454,0.4311926605504587,0.4336633663366336,0.2895752895752895,0.2273567467652495,1,
Geno Smith,0.528324388789505,0.5109792284866469,0.5225806451612903,0.1921728971962616,0.1893491124260355,0.1878354203935599,0.0256410256410256,0.02242668200115,0,0.0739856801909307
Darren Sharper,0.5276381909547738,0.5472312703583062,0.765990639625585,0.913235294117647,0.987265415549598,0.9948947032546268,0.9950556242274412,0.9939024390243902,0,1.0
Kendrick Clancy,0.4330882352941176,0.5563002680965148,0.5571155073388641,0.5426452410383189,0.4121951219512195,0.6934703748488513,0.7435123717561859,0.7629541393686718,0,0.7025240384615384
Malik Jackson,0.3792270531400966,0.7237866986219293,0.8085867620751341,0.8724035608308606,0.8686217008797654,0.9415887850467288,0.921301775147929,0.8527131782945736,0,0.7162004662004662
Connor McGovern,0.1921728971962616,0.1893491124260355,0.2468694096601073,0.0571095571095571,0.2518688901667625,0.2434367541766109,0.2780429594272076,0.2160804020100502,0,0.2330402010050251
Pierre Thomas,0.6259678379988088,0.6304086538461539,0.632177033492823,0.3604240282685512,0.2052058111380145,0.1817632850241546,0.3295386458957459,0.2695289206917114,1,
Samari Rolle,0.254071661237785,0.6396255850234009,0.9485294117647058,0.9671581769436998,0.9253350350989152,0.9171817058096416,0.8689024390243902,0.8893591293833132,0,0.8388654194327098
Will Herring,0.4395473496128648,0.4921875,0.6650717703349283,0.7620730270906949,0.7639225181598063,0.730072463768116,0.6764529658478131,0.6285032796660703,1,
Patrick Mannelly,0.3838235294117647,0.4423592493297587,0.4575622208040842,0.5142150803461063,0.498170731707317,0.5084643288996372,0.4218467109233554,0.3829660512209649,0,0.2914663461538461
Chad Greenway,0.8421679571173317,0.947716346153846,0.9880382775119616,0.9770318021201412,0.9691283292978208,0.967391304347826,0.97663271420012,0.962432915921288,0,0.96973293768546
Lonnie Marts,0.298311444652908,0.5669144981412639,0.8481973434535104,0.725897920604915,0.7303754266211604,0.6919104991394148,0.8257956448911222,0.8990228013029316,0,0.8627145085803433
Carlos Emmons,0.2013769363166953,0.1892797319932998,0.5749185667752443,0.7472698907956318,0.9352941176470588,0.8987935656836461,0.8691767708998086,0.861557478368356,0,0.8798780487804878
Todd Herremans,0.0918984280532043,0.1852745926372963,0.240023823704586,0.2518028846153846,0.2188995215311004,0.2114252061248527,0.1937046004842615,0.2077294685990338,0,0.231276213301378
Tony Peters,0.0493273542600896,0.0705394190871369,0.3661417322834646,0.4816176470588235,0.4878048780487805,0.6666666666666666,0.8098159509202454,0.8577981651376146,0,0.6831683168316832
Cornell Brown,0.2579564489112227,0.2703583061889251,0.3681747269890795,0.7029411764705882,0.7151474530831099,0.7798340778557754,0.6996291718170581,0.7115853658536585,1,
Bernard Jackson~,0.057471264367816,0.2160804020100502,0.3578431372549019,0.7219730941704036,0.7095435684647303,0.6968503937007874,0.75,0.710801393728223,0,0.7260726072607261
Jared Allen,0.6829268292682927,0.9262394195888756,0.9891369945684972,0.9988088147706968,0.9963942307692308,0.9976076555023924,0.9964664310954064,1.0,0,0.9993961352657004
Mike Nugent,0.2357920193470374,0.4115872057936029,0.4198927933293627,0.3774038461538461,0.1668660287081339,0.2856301531213192,0.2657384987893462,0.2977053140096618,0,0.2612342720191731
Daniel Sorensen,0.3875968992248062,0.5382789317507418,0.8768328445747801,0.9328271028037384,0.968639053254438,0.8950506857483602,0.9632867132867132,0.9706728004600343,0,0.9755369928400954
Jeff Reed,0.1289087428206764,0.1915945611866502,0.275,0.2515114873035066,0.2981291490645745,0.3519952352590828,0.4008413461538461,0.4120813397129186,1,
Demorrio Williams,0.6225609756097561,0.8210399032648126,0.936028968014484,0.9487790351399644,0.9170673076923076,0.868421052631579,0.823321554770318,0.7397094430992736,0,0.8236714975845411
Barry Krauss,0.4110429447852761,0.7408256880733946,0.803960396039604,0.916988416988417,0.9519408502772644,0.875,0.7916666666666666,0.6132075471698113,0,0.8048780487804879
Ed Reed,0.795788130185067,0.945611866501854,1.0,0.996372430471584,0.9939649969824984,0.9452054794520548,0.9969951923076924,0.9982057416267942,0,0.9976442873969376
Dhani Jones,0.5898123324396782,0.7306955966815571,0.8677379480840544,0.8981707317073171,0.8760580411124547,0.8177429088714544,0.8445503275759381,0.9074519230769232,0,0.9521531100478468
Tyler Eifert,0.316956261234272,0.3059033989266547,0.3774480712166172,0.2961876832844575,0.2692757009345794,0.0449704142011834,0.2319618366129994,0.5355477855477856,1,
