Player,Year1,Year2,Year3,Year4,Year5,Year6,Year7,Year8,Year9,Year10,Retire,NextPercentile
Shaun Hill,0.0114942528735632,0.0449438202247191,0.2127659574468085,0.4555555555555555,0.7349397590361446,0.8023255813953488,0.775,0.7837837837837838,0.4714285714285714,0.4729729729729729,0,0.136986301369863
Byron Leftwich,0.216867469879518,0.6941176470588235,0.9195402298850576,0.8876404494382022,0.7446808510638298,0.6444444444444445,0.5783132530120482,0.6627906976744186,0.325,0.3918918918918919,1,
Chase Daniel,0.0813953488372093,0.2875,0.6756756756756757,0.7714285714285715,0.7162162162162162,0.6027397260273972,0.7222222222222222,0.547945205479452,0.4558823529411764,0.3943661971830985,0,0.5070422535211268
Ken Anderson 2,0.3333333333333333,0.7435897435897436,0.9487179487179488,1.0,1.0,1.0,0.984126984126984,0.8769230769230769,0.8153846153846154,0.782608695652174,0,0.9859154929577464
Bubby Brister,0.2117647058823529,0.3359375,0.5176470588235295,0.5121951219512195,0.7215189873417721,0.6842105263157895,0.65,0.6962025316455697,0.7037037037037037,0.6704545454545454,0,0.3
Matt Schaub,0.1764705882352941,0.4827586206896552,0.7191011235955056,0.851063829787234,0.8,0.9036144578313252,0.9418604651162792,0.925,0.9054054054054054,0.7285714285714285,0,0.5405405405405406
James Harris 2,0.2758620689655172,0.3666666666666666,0.358974358974359,0.4358974358974359,0.8076923076923077,0.9423076923076924,0.9482758620689656,0.8888888888888888,0.8,0.5692307692307692,1,
Wade Wilson,0.0422535211267605,0.0704225352112676,0.2222222222222222,0.2738095238095238,0.4512195121951219,0.5411764705882353,0.875,0.8941176470588236,0.8902439024390244,0.8481012658227848,0,0.6578947368421053
Joe Montana,0.1076923076923077,0.5362318840579711,0.9154929577464788,0.971830985915493,1.0,1.0,1.0,0.9882352941176472,0.984375,0.9647058823529412,0,1.0
Jeff George,0.240506329113924,0.4473684210526316,0.6375,0.5822784810126582,0.654320987654321,0.8295454545454546,0.7555555555555555,0.8111111111111111,0.6629213483146067,0.8314606741573034,0,0.7555555555555555
Mark Rypien,0.2470588235294117,0.7439024390243902,0.9113924050632912,0.986842105263158,0.95,0.9493670886075948,0.7530864197530864,0.6818181818181818,0.7222222222222222,0.6888888888888889,0,0.4157303370786517
Danny White,0.2586206896551724,0.365079365079365,0.6615384615384615,0.5384615384615384,0.7246376811594203,0.7605633802816901,0.9014084507042254,0.9506172839506172,0.9166666666666666,0.902439024390244,0,0.8588235294117647
Steve Deberg,0.1538461538461538,0.6,0.8405797101449275,0.7887323943661971,0.6901408450704225,0.7530864197530864,0.8095238095238095,0.8292682926829268,0.7176470588235294,0.7890625,0,0.7294117647058823
Matt Moore,0.1808510638297872,0.1555555555555555,0.4337349397590361,0.4186046511627907,0.625,0.5675675675675675,0.4285714285714285,0.4459459459459459,0.5753424657534246,0.75,0,0.7671232876712328
Tommy Maddox,0.1375,0.430379746835443,0.6049382716049383,0.5568181818181818,0.2111111111111111,0.0888888888888888,0.0224719101123595,0.0224719101123595,0.0444444444444444,0.3658536585365853,0,0.4939759036144578
Scott Mitchell,0.05,0.3291139240506329,0.5185185185185185,0.9204545454545454,0.9,0.9555555555555556,0.7078651685393258,0.4943820224719101,0.4,0.3292682926829268,1,
Peyton Manning,0.348314606741573,0.797752808988764,1.0,0.975609756097561,0.9759036144578314,1.0,1.0,1.0,1.0,0.9893617021276596,0,1.0
Chad Pennington,0.2888888888888888,0.4756097560975609,0.8433734939759037,0.7951807228915663,0.8823529411764706,0.735632183908046,0.8314606741573034,0.7553191489361702,0.8777777777777778,0.7951807228915663,0,0.8255813953488372
