PLAYER NAME,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
Bill McClard,-0.0627792934205914,-0.0745796930812578,0.0187384283766063,-0.0095185796466099,0.0419959760429695,-0.0316914113222309,-0.0426611399135233,0.047940734177964,0.0215307948651418,-0.0067549888741449,-0.0770226878226204,0.0868469696278535,0.1189780625915508,0.1399105743589668,-0.0292181188211202,0.0703458657493625,0.0379275377844146,0.1426551107496024,0.0442919557079695,-0.1524973816872335,-0.0225450666921052,-0.1510393710219561,-0.0693004549512842,0.1082126580940513,-0.0439178556414954,0.0825816289927507,0.0901450402909143,0.0637462924400671,0.0930141390115684,0.0586459129453532,0.0518357757363014,0.1246009959707735,-0.0432077957196337
Billy Cundiff,-0.0120205082501996,0.1226065880307394,-0.0257146199570156,-0.1827716662284916,-0.1344528965830798,0.0228083747749987,-0.0683588641559261,0.044355718515108,-0.0692541284625545,-0.0445403851092415,0.2954375890781959,0.0754152480361696,0.1116951093121663,0.0809953488804093,-0.0061805067134303,-0.1499863124234971,0.0385271659615967,-0.1195487168233007,-0.0226172685446199,-0.0982014484162484,-0.0999547418233024,-0.1597968798384931,0.1373802730891464,-0.17093976874454,-0.0978632518354332,-0.0055823854344727,-0.0941137289566805,-0.085811746736981,0.0539639498079426,-0.2031999450268699,0.012856505320532,-0.0600579978267271,0.013722212761262
Blair Walsh,0.0434456647792894,-0.0681239919706978,-0.0653102468411052,0.062848352084628,0.0200130193544098,0.0757990651346654,0.0239917653662739,-0.0425270673683892,-0.1125987701096613,-0.0105406873865839,-0.042428142451664,-0.0247841224423701,-0.0648774583391204,-0.0877551699235896,-0.028533430802083,0.0037943942547515,-0.0467594978943506,-0.0086052795718432,0.0693172956789255,0.0370133332362748,-0.0531076129651047,0.0256896013734853,-0.028306576620593,-0.0288700391455959,-0.0306304019219406,-0.0113442903151979,-0.0869607408385494,-0.0632071770477914,-0.0139317077475243,-0.0358944681128664,-0.0159113828167494,0.0093741207199651,0.0162693057683701
Bob Thomas,0.0245404643194524,0.0114888008153806,0.040834454763553,-0.0381356886087839,0.0123078332499349,0.0047855676179369,0.0409595489036584,-0.041404058827753,0.0686369744609033,0.0706887013136189,0.1150597720488922,-0.0884190042860603,-0.0619514357429549,0.0788363600898771,-0.0078862616577483,0.0214096289139868,0.0280426577661852,0.0395771349321253,0.0968419923174658,-0.0508457098185614,0.0755952112854846,0.0675744837013993,0.1537202797462377,-0.0162555471534654,-0.0561870754410993,-0.0634818988858991,-0.0189666482963346,-0.144540368236126,-0.175766745470191,0.1950446798794289,0.0974667445667637,-0.1337948004015575,-0.149449069074467
Bobby Howfield,-0.019735294756805,-0.1474840959126195,0.2140897127646465,0.0153429665470775,-0.1057865311230433,-0.0177372248574126,-0.1327655181718497,0.0266752869948372,-0.0870752261436377,-0.2097446989002514,-0.0748318731846322,-0.23281886947481,-0.1303479101884309,0.0189417070311704,0.0646429019959183,0.0262027499680689,-0.0189544670537046,-0.0673425448291247,0.0116253826278365,0.0201635478419659,0.0571788429762637,0.0318577339228834,-0.0005813976135345,-0.042281353541468,0.116763073262823,0.0129747137547264,-0.0720363863018627,0.0199909370378038,0.0639907164009553,0.0603819037350528,-0.0274552073178986,-0.1264009161308888,0.0610689097296935
Brad Daluiso,0.0039400835709669,-0.0548686898426664,-0.0587195807458575,-0.0518538593339695,0.1329189867397707,-0.1024975525466484,-0.0782275901754848,0.0420140831865009,0.0022735314651476,-0.0162089400522185,-0.1168054257492727,-0.004001460969454,0.0872006435319426,0.018329648634556,-0.0282008159892599,0.042958056238388,0.0393923428472116,-0.0642695434410515,0.0279161510137496,0.013163650441437,0.1548423663660909,0.0075580010838253,-0.1367604637403791,-0.0052140678585878,0.1724146967264858,0.0248151747640942,-0.0602419728051515,0.1358997300436375,-0.0722922654272191,-0.1574375690151672,0.0209277936548894,-0.0866424339543882,0.0500586804041572
Brett Conway,0.0033376639598199,-0.0795437993851881,-0.0909114626408917,-0.0041705995963616,0.0450000742652457,0.1111253955796664,0.0020247686906527,-0.0124661072585583,0.128536031229506,-0.0156073678888541,-0.0446073913282886,-0.0527478499542329,-0.0220157938319578,-0.0032975486801095,0.1057550095314675,-0.022595267442489,-0.0113787412543626,0.0975899453022135,-7.834484319636792e-05,0.0171941305386271,0.0314501452391976,0.0271544615726231,0.0444503806487003,-0.0453639678932525,0.0506269644519557,-0.0073002475313279,-0.108359904054564,0.0254996974856493,-0.112614608258932,0.1095061887886665,-0.0479081419917495,-0.2176699596093632,0.0076991082542574
Brett Maher,-0.0252203242229795,-0.0055931416690467,-0.1733462208780933,0.0589498649905938,-0.2945766537404044,-0.1510352126663232,0.2326022598141895,0.3164077652964813,0.0137914273982674,0.0971510183931177,0.0879407384239308,-0.1308846041624657,-0.0608809895606007,0.0334121262493529,-0.006712416950287,0.1510470238238024,-0.0778898553773955,-0.00415167582327,0.0045138045814417,-0.0300239690757874,-0.0739605927770116,0.0914385786412899,-0.0678528481377237,-0.0122131682293435,0.0055676614181906,0.0300728935189016,0.0354617613091546,-0.1375201084954447,-0.0146128783031831,-0.0841786213715932,0.0115531806623896,-0.0530654236581151,-0.0508207933608995
Caleb Sturgis,0.0405422675268985,-0.0933633325199458,-0.0748893142186059,0.1309223690752098,-0.1026328182968999,-0.047961043953723,-0.1156200197501961,0.0418773413996225,-0.0367976608400604,-0.0753734209866786,-0.0522310997678197,-0.08991575814377,-0.0389070627039168,-0.1533337151276416,0.0506733057860879,0.0281644387396914,-0.0686155488621116,-0.0284215692414109,0.0181786061512446,-0.0625312583148968,-0.060426400029647,-0.1507366456748529,0.0678604469579616,-0.0127711836308695,-0.0633540068613869,0.0290180446549218,-0.0697409930295166,-0.1453332121809208,-0.0549122465214989,-0.1441565559469761,-0.0109828793235578,0.0059117568773537,0.0683137666691154
Cary Blanchard,0.0025012655114383,-0.0392812816064403,-0.0452073310200623,-0.1020598851193426,-0.0039456076717041,-0.0237988047690445,0.0311962207071741,-0.0403290639480827,-0.0641896643017151,-0.0282035835418958,-0.0996198783340684,0.0816546732510589,-0.0002567629582785,0.079210290621971,-0.0870324609219955,-0.091685517897172,-0.0843716940634028,-0.04323329748213,-0.0222200908148053,-0.0335620783970207,0.0464139712278915,0.193298012363705,0.0820072449317072,-0.0227522888875387,0.0765262460310416,-0.0351229038079799,-0.0821096367707307,-0.0657730098734687,0.0254780144277334,-0.0555540803994179,-0.0122745272179932,-0.00441159694932,0.0270366656293131
