Player Name,Games Played,Interceptions,Interception Yards,Average Ints per Game,Long,Touchdowns,Sacks,Sack Loss Yards Caused
Randall Godfrey,16,1,10,10.0,10,0,1.0,16.0
Darrien Gordon,16,3,44,14.67,28,0,1.0,6.0
Dwayne Gordon,16,0,0,0.0,0,0,1.0,6.0
Darrell Green,16,3,33,11.0,25,0,0.0,0.0
Kevin Greene,16,0,0,0.0,0,0,12.0,90.5
Victor Green,16,5,92,18.4,32,0,0.0,0.0
Donovan Greer,16,1,0,0.0,0,0,0.0,0.0
Robert Griffith,16,3,0,0.0,0,0,4.0,30.0
Charles Haley,16,0,0,0.0,0,0,3.0,22.0
Cory Hall,16,1,0,0.0,0,0,0.0,0.0
Travis Hall,16,0,0,0.0,0,0,4.5,30.0
Darren Hambrick,16,2,44,22.0,25,0,2.5,21.0
Keith Hamilton,16,0,0,0.0,0,0,4.0,23.0
Norman Hand,14,0,0,0.0,0,0,4.0,17.5
Merton Hanks,12,2,30,15.0,23,1,2.0,15.0
Phil Hansen,14,0,0,0.0,0,0,6.0,37.5
Cedric Harden,5,0,0,0.0,0,0,0.5,5.5
Kevin Hardy,16,0,0,0.0,0,0,10.5,66.0
Al Harris,16,4,151,37.75,84,1,0.0,0.0
Corey Harris,16,1,24,24.0,24,1,1.0,8.0
James Harris,16,0,0,0.0,0,0,2.5,13.0
Rodney Harrison,6,1,0,0.0,0,0,1.0,9.0
Robert Harris,6,0,0,0.0,0,0,1.0,8.0
Sean Harris,14,1,0,0.0,0,0,0.0,0.0
Walt Harris,15,1,0,1.0,0.0
Richard Harvey,15,0,0,0.0,0,0,2.0,4.0
Harald Hasselbach,16,0,0,0.0,0,0,2.5,14.5
James Hasty,15,7,98,14.0,56,2,1.0,8.0
Tim Hauck,16,1,2,2.0,2,0,0.0,0.0
Duane Hawthorne,13,3,0,0,0.0,0.0
Rodney Heath,16,3,72,24.0,58,1,0.0,0.0
Chad Hennings,16,0,0,0.0,0,0,5.0,13.0
Kevin Henry,16,0,0,0.0,0,0,1.0,2.0
Chris Hewitt,12,0,0,0.0,0,0,1.0,11.0
Eric Hicks,16,0,0,0.0,0,0,4.0,25.0
Jimmy Hitchcock,16,2,0,0.0,0,0,2.0,24.0
Nate Hobgood-Chittick,10,0,0,0.0,0,0,0.5,2.0
Warrick Holdman,16,0,0,0.0,0,0,2.0,26.0
John Holecek,14,1,35,35.0,35,0,1.0,7.0
Darius Holland,15,0,0,0.0,0,0,2.0,11.0
Vonnie Holliday,16,0,0,0.0,0,0,6.0,40.0
Kenny Holmes,14,2,17,8.5,19,0,4.0,20.0
Chris Hudson,16,3,28,9.33,28,0,1.0,9.0
Cletidus Hunt,11,0,0,0.0,0,0,0.5,0.0
Ken Irvin,14,1,1,1.0,1,0,0.0,0.0
Steve Israel,13,1,0,0.0,0,0,1.0,15.0
Calvin Jackson,16,0,0,0.0,0,0,1.0,9.0
Grady Jackson,15,0,0,0.0,0,0,4.0,35.0
Steve Jackson,8,1,2,2.0,2,0,0.5,3.5
Tyoka Jackson,6,0,0,0.0,0,0,1.0,8.0
Tory James,16,5,59,11.8,45,0,0.0,0.0
Greg Jefferson,16,0,0,0.0,0,0,4.0,31.5
Billy Jenkins,16,2,16,8.0,14,0,1.0,5.0
DeRon Jenkins,16,0,0,0.0,0,0,1.0,9.0
Bill Johnson,6,0,0,0.0,0,0,1.0,11.0
Ellis Johnson,16,0,0,0.0,0,0,7.5,46.5
Lance Johnstone,16,1,0,0.0,0,0,10.0,68.0
Raylee Johnson,16,0,0,0.0,0,0,10.5,68.5
Ted Johnson,5,0,0,0.0,0,0,2.0,14.0
Cedric Jones,16,0,0,0.0,0,0,7.5,52.5
Ernest Jones,13,0,0,0.0,0,0,2.5,22.0
Greg Jones,15,0,0,0.0,0,0,0.5,2.0
James Jones,16,0,0,0.0,0,0,7.0,42.5
Lenoy Jones,16,1,3,3.0,3,0,0.0,0.0
Marcus Jones,16,0,0,0.0,0,0,7.0,48.0
Marvin Jones,16,1,15,15.0,15,0,1.0,5.0
Mike Jones,16,4,96,24.0,44,2,1.0,9.0
Mike Jones,11,0,0,0.0,0,0,1.0,1.0
Kerry Joseph,16,3,82,27.33,40,0,0.0,0.0
Ndukwe Kalu,12,0,0,0.0,0,0,3.5,19.0
Andy Katzenmoyer,16,1,57,57.0,57,1,3.5,14.0
Jevon Kearse,16,0,0,0.0,0,0,14.5,66.5
Brian Kelly,16,1,26,26.0,26,0,0.0,0.0
Rob Kelly,16,1,6,6.0,6,0,0.0,0.0
Cortez Kennedy,16,2,12,6.0,7,0,6.5,50.5
Patrick Kerney,16,0,0,0.0,0,0,2.5,18.5
Lamar King,14,0,0,0.0,0,0,2.0,20.0
Shawn King,9,0,0,0.0,0,0,1.5,3.5
Levon Kirkland,16,1,23,23.0,23,0,2.0,12.0
Travis Kirschke,15,0,0,0.0,0,0,2.0,12.5
Sammy Knight,16,1,0,0.0,0,0,0.0,0.0
Tom Knight,16,2,16,8.0,16,0,0.0,0.0
Scott Kowalkowski,16,1,29,29.0,29,0,1.0,10.0
Clint Kriewaldt,12,1,2,2.0,2,0,0.0,0.0
Matt LaBounty,16,0,0,0.0,0,0,2.0,14.0
Carnell Lake,16,0,0,0.0,0,0,3.5,14.0
Kenard Lang,16,0,0,0.0,0,0,6.0,35.0
Kwamie Lassiter,16,2,110,55.0,78,1,0.0,0.0
Ty Law,13,2,20,10.0,27,1,0.5,6.5
Leon Lett,8,0,0,0.0,0,0,1.5,8.0
Bashir Levingston,12,1,34,34.0,34,0,0.0,0.0
Darryll Lewis,13,4,9,2.25,5,0,0.0,0.0
Mo Lewis,16,0,0,0.0,0,0,5.5,33.0
Ray Lewis,16,3,97,32.33,60,0,3.5,20.5
Jeremy Lincoln,15,1,0,0.0,0,0,0.0,0.0
Earl Little,9,1,0,0.0,0,0,0.0,0.0
Ernie Logan,14,0,0,0.0,0,0,3.0,22.0
Todd Lyght,16,6,112,18.67,57,1,2.5,19.5
