PLAYER NAME,YEAR,PASSING YARDS,YARDS PER ATTEMPT,ATTEMPTS,COMPLETIONS,COMPLETION %,TOUCHDOWNS,INTERCEPTIONS,QB RATING,1ST DOWNS,1ST DOWN %,20,40,LONG,SACKS,SACK LOSS YARDS,RUSHING YARDS,ATTEMPTS.1,YARDS PER ATTEMPT.1,TOUCHDOWNS.1,20+.1,40+.1,LONG.1,RUSHING 1ST DOWNS,RUSHING 1ST %,FUMBLES,HOWGOOD RAW SCORE,PERCENTILE
Josh Allen,2024,1.0456838565022400,1.0,0.509493670886076,1.0,1.272,1.4,-1.1999998800000000,2.028,1.0176470588235300,0.9421052631578950,1.2857142857142900,1.6666666666666700,0.463768115942029,-0.4516129032258060,-0.2876712328767120,0.3538867743454170,0.3435921354681380,0.2523071292453520,0.6123724356957950,0.3952847075210470,0.0,0.2542738138578040,0.3992179855667830,0.2837978807415620,0.0,14.586527764032100,1.0
Josh Freeman,2009,0.5157075340561580,0.8421052631578950,0.2941176470588240,0.5031847133757960,1.09,0.4761904761904760,-2.769230492307690,1.196,0.5235294117647060,0.8319783197831980,0.5952380952380950,0.25,0.2876712328767120,-0.7692307692307690,-0.5454545454545450,0.3095695936834450,0.25,0.2715586305653260,0.0,0.25,0.0,0.2439750182371330,0.2931509849889640,0.2489844236960280,-2.8284271247461900,2.3606184129335600,0.253012048192771
Josh Freeman,2010,1.0486174415071400,0.9605263157894740,0.5021186440677970,1.058181818181820,1.228,1.1904761904761900,-0.9999999,1.918,1.0246913580246900,0.9668508287292820,1.2,1.25,0.4266666666666670,-1.0,-1.054054054054050,0.4318279863974380,0.3702658155886770,0.2521781631310220,0.0,0.3535533905932740,0.0,0.3061862178478970,0.4487637339278750,0.2616194374986710,-2.0,10.144470054373900,0.9534883720930230
Josh Freeman,2011,1.057092407298410,0.8125,0.548804780876494,1.153333333333330,1.256,0.8888888888888890,-3.384615046153850,1.492,1.0566037735849100,0.8310626702997280,0.75,0.625,0.4276315789473680,-0.9666666666666670,-0.8282828282828280,0.3728521041764210,0.3277527650531720,0.2235913973024420,0.5,0.25,0.0,0.2727723627949900,0.4166666666666670,0.2819251544596310,-2.449489742783180,5.9154235997959300,0.6625
Josh Freeman,2012,1.107931316435000,0.9605263157894740,0.5294117647058820,1.0,1.096,1.2272727272727300,-2.83333305,1.632,1.0632183908046000,0.8645833333333340,1.1956521739130400,2.0,0.6690140845070420,-0.896551724137931,-0.8090452261306530,0.2625802976203900,0.2677520802357810,0.2298425704159990,0.0,0.0,0.0,0.1966989481173610,0.3015113445777640,0.2679154931775950,-2.0,8.332980840637400,0.8243243243243240
Josh Freeman,2013,0.2297011771808030,0.6933333333333330,0.1553911205074000,0.2157534246575340,0.858,0.0952380952380952,-0.7272726545454550,1.052,0.2547770700636940,0.7619047619047620,0.3023255813953490,0.0,0.25,-0.2285714285714290,-0.2687224669603520,0.1020620726159660,0.0988211768802618,0.2185812841434,0.0,0.0,0.0,0.1921765286964520,0.0833333333333333,0.1937460645730320,0.0,4.532578474446180,0.3714285714285710
Josh Freeman,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.081081081081081
Josh Freeman,2015,0.04,0.6973684210526320,0.0289855072463768,0.0482315112540192,1.072,0.0476190476190476,-0.1818181636363640,1.318,0.0409356725146198,0.6596306068601580,0.0204081632653061,0.1111111111111110,0.3851351351351350,-0.0357142857142857,-0.0376344086021505,0.1027783064741300,0.1212678125181660,0.4330127018922190,0.0,0.0,0.0,0.1767766952966370,0.1305582419667730,0.2587745847533830,0.0,5.4374266610069100,0.4246575342465750
Josh Johnson,2009,0.1904364748401450,0.7236842105263160,0.1267748478701830,0.2006369426751590,1.008,0.1904761904761900,-1.230769107692310,1.018,0.188235294117647,0.6937669376693770,0.1904761904761900,0.0,0.2397260273972600,-0.4230769230769230,-0.3155080213903740,0.2968084198523320,0.2140872096444190,0.3040400648884660,0.0,0.25,0.0,0.2937848256965020,0.2338535866733710,0.2317675909531270,-2.449489742783180,2.1757110188139000,0.2409638554216870
Josh Johnson,2010,0.0337283500455788,0.9078947368421050,0.0169491525423728,0.0509090909090909,1.75,0.0,0.0,1.912,0.0308641975308641,0.8618784530386740,0.025,0.0,0.1466666666666670,-0.0714285714285714,-0.0432432432432432,0.1413488882047590,0.0898026510133874,0.3403404348152710,0.0,0.0,0.0,0.1994310088043660,0.1443375672974060,0.3471329505348690,0.0,6.883612333573600,0.7674418604651160
Josh Johnson,2011,0.072395526780459,0.85,0.0358565737051792,0.0633333333333333,1.056,0.0555555555555555,-0.3076922769230770,1.212,0.0754716981132075,0.9073569482288830,0.0909090909090909,0.125,0.2763157894736840,-0.1,-0.1212121212121210,0.197826980007004,0.1465754924944820,0.2652705360575790,0.0,0.0,0.0,0.2041241452319320,0.1443375672974060,0.2186186580488020,-1.4142135623731000,4.053829934728300,0.2625
Josh Johnson,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0344827586206896,-0.0402010050251256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0746837636458152,0.0
Josh Johnson,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1020620726159660,0.1169267933366860,0.1847349022978170,0.0,0.0,0.0,0.1685499656158110,0.1178511301977580,0.2316865958114080,-1.4142135623731000,-0.4924021024976500,0.0
Josh Johnson,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.081081081081081
Josh Johnson,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0547945205479452
Josh Johnson,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111110
Josh Johnson,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1232876712328770
Josh Johnson,2018,0.1583892617449660,0.8441558441558440,0.0936213991769547,0.1625,1.142,0.1363636363636360,-0.7272726545454550,1.388,0.1620111731843580,0.869209809264305,0.1590909090909090,0.1428571428571430,0.5266666666666670,-0.3,-0.3284313725490200,0.2331262020600780,0.1828393627153070,0.2417812355726670,0.1767766952966370,0.0,0.0,0.2041241452319320,0.1834498464263360,0.2163285222910980,0.0,5.867587825004360,0.5147058823529410
