Player Name,Games Played,Interceptions,Interception Yards,Average Ints per Game,Long,Touchdowns,Solo Tackles,Tackle Assists,Total Tackles,Sacks,Sack Loss Yards Caused
Rocky Boiman,11,0,0,0.0,0,0,55,17,72,0.0,0.0
Melvin Bullitt,15,4,7,1.75,3,0,59,13,72,0.0,0.0
Nick Collins,16,7,295,42.14,62,3,60,12,72,0.0,0.0
Michael Johnson,16,2,18,9.0,18,0,47,25,72,1.0,13.0
Brian Russell,16,0,0,0.0,0,0,55,17,72,1.0,7.0
Will Witherspoon,16,1,2,2.0,2,0,57,15,72,1.0,10.0
Justin Durant,14,0,0,0.0,0,0,63,8,71,0.0,0.0
Nick Harper,13,2,11,5.5,11,0,68,3,71,0.0,0.0
Jason Craft,15,1,16,16.0,16,0,61,9,70,3.0,22.0
Chris Harris,16,1,16,16.0,16,0,60,10,70,0.0,0.0
Gerald Sensabaugh,16,4,38,9.5,23,0,59,11,70,0.0,0.0
Daryl Smith,14,0,0,0.0,0,0,60,10,70,2.5,16.0
Jim Leonhard,16,1,35,35.0,35,1,55,14,69,1.0,7.0
Brady Poppinga,16,0,0,0.0,0,0,48,21,69,0.0,0.0
Bryan Scott,16,0,0,0.0,0,0,56,13,69,1.0,8.0
Darren Sharper,16,1,12,12.0,12,0,60,9,69,0.0,0.0
Terrell Suggs,16,2,86,43.0,44,2,54,15,69,8.0,69.5
Brandon Chillar,14,0,0,0.0,0,0,59,10,69,1.0,5.0
Danny Clark,16,0,0,0.0,0,0,43,26,69,0.0,0.0
Abram Elam,16,1,92,92.0,92,1,48,21,69,2.0,19.0
Cortland Finnegan,16,5,100,20.0,99,1,57,12,69,1.0,2.0
Tanard Jackson,16,1,25,25.0,25,0,59,10,69,1.0,8.0
James Butler,15,3,62,20.67,47,0,54,14,68,0.0,0.0
Brandon Flowers,14,2,118,59.0,91,1,61,7,68,0.0,0.0
Ryan Nece,16,1,18,18.0,18,0,45,23,68,1.5,5.0
Marvin White,12,1,0,0.0,0,0,53,15,68,0.0,0.0
Domata Peko,16,0,0,0.0,0,0,29,38,67,0.5,0.5
Kenny Phillips,16,1,0,0.0,0,0,55,12,67,0.0,0.0
James Sanders,14,1,9,9.0,9,0,44,23,67,0.0,0.0
Cato June,16,1,1,1.0,1,0,49,18,67,0.0,0.0
Zac Diles,8,1,0,0.0,0,0,47,19,66,1.0,9.0
Tim Jennings,16,2,9,4.5,6,0,51,15,66,0.0,0.0
Terrence McGee,14,3,36,12.0,36,0,61,5,66,0.0,0.0
Ko Simpson,16,0,0,0.0,0,0,51,15,66,0.0,0.0
Vince Wilfork,16,0,0,0.0,0,0,45,21,66,2.0,13.0
Kamerion Wimbley,16,1,2,2.0,2,0,52,14,66,4.0,18.0
Eric Wright,16,3,131,43.67,94,1,61,5,66,0.0,0.0
Brodney Pool,15,3,45,15.0,24,0,60,5,65,1.0,6.0
Ike Taylor,16,1,0,0.0,0,0,50,15,65,0.0,0.0
Lawrence Timmons,16,1,89,89.0,89,0,43,22,65,5.0,43.0
Justin Tuck,16,1,41,41.0,41,1,51,14,65,12.0,84.5
LaRon Landry,16,2,18,9.0,13,0,49,16,65,0.5,4.0
Antonio Cromartie,16,2,66,33.0,52,1,60,4,64,0.0,0.0
Kevin Kaesviharn,11,2,13,6.5,13,0,49,15,64,0.0,0.0
Ben Leber,16,2,29,14.5,28,0,47,17,64,1.5,9.5
Dwight Lowery,16,1,0,0.0,0,0,54,10,64,0.0,0.0
Chinedum Ndukwe,11,1,12,12.0,12,0,43,21,64,3.0,25.0
Marcus Trufant,16,1,0,0.0,0,0,60,4,64,0.0,0.0
Eugene Wilson,12,2,36,18.0,19,0,52,11,63,0.0,0.0
Charles Woodson,16,7,169,24.14,62,2,51,12,63,3.0,14.0
Corey Chavous,16,0,0,0.0,0,0,52,11,63,0.0,0.0
Nate Clements,15,2,13,6.5,13,0,56,7,63,0.0,0.0
Larry Foote,16,0,0,0.0,0,0,34,29,63,1.5,8.5
Clinton Hart,14,0,0,0.0,0,0,45,18,63,0.0,0.0
Dre' Bly,16,2,5,2.5,5,0,54,8,62,0.0,0.0
Akeem Jordan,16,0,0,0.0,0,0,53,9,62,0.0,0.0
Aaron Kampman,16,0,0,0.0,0,0,47,15,62,9.5,46.5
Adewale Ogunleye,16,1,0,0.0,0,0,48,14,62,5.0,45.0
Will Smith,16,0,0,0.0,0,0,43,19,62,3.0,23.0
Mike Vrabel,16,1,5,5.0,5,0,40,22,62,4.0,23.0
Demorrio Williams,16,0,0,0.0,0,0,46,16,62,0.0,0.0
Kevin Williams,16,0,0,0.0,0,0,47,15,62,8.5,59.5
Donte Whitner,13,0,0,0.0,0,0,50,11,61,1.0,13.0
Chase Blackburn,16,0,0,0.0,0,0,40,21,61,1.0,13.0
Charles Godfrey,16,1,16,16.0,16,0,52,9,61,1.0,8.0
Chris Houston,16,2,10,5.0,10,1,52,9,61,0.0,0.0
Jordan Babineaux,14,1,35,35.0,35,1,57,3,60,0.0,0.0
H.B. Blades,16,0,0,0.0,0,0,40,20,60,0.0,0.0
Shaun Ellis,16,0,0,0.0,0,0,41,19,60,8.0,50.5
Ken Lucas,16,2,74,37.0,43,0,53,7,60,0.0,0.0
Aaron Smith,16,0,0,0.0,0,0,44,16,60,5.5,38.5
LaMarr Woodley,15,1,6,6.0,6,0,41,19,60,11.5,85.0
Mike Montgomery,14,0,0,0.0,0,0,43,16,59,2.5,11.0
Chike Okeafor,16,1,39,39.0,39,0,50,9,59,4.5,14.0
Jermaine Phillips,11,3,72,24.0,58,0,48,11,59,0.0,0.0
Bryan Thomas,16,0,0,0.0,0,0,40,19,59,5.5,32.0
Tim Dobbins,16,1,4,4.0,4,0,47,12,59,0.0,0.0
Nick Ferguson,14,0,0,0.0,0,0,48,11,59,0.0,0.0
Omar Gaither,16,0,0,0.0,0,0,51,8,59,2.5,17.0
Chris Gocong,16,0,0,0.0,0,0,43,16,59,2.0,17.0
Ryan Denney,16,0,0,0.0,0,0,40,18,58,4.0,24.0
Tommy Kelly,16,0,0,0.0,0,0,31,27,58,4.5,26.0
Darrelle Revis,16,5,38,7.6,32,1,45,13,58,1.0,9.0
Willie McGinest,14,0,0,0.0,0,0,44,13,57,1.0,0.0
Tramon Williams,16,5,78,15.6,39,0,52,5,57,0.0,0.0
Ronald Bartell,16,3,29,9.67,24,0,54,3,57,1.0,4.0
Kevin Bentley,16,0,0,0.0,0,0,38,19,57,1.0,15.0
Hiram Eugene,16,0,0,0.0,0,0,46,11,57,0.0,0.0
Jarret Johnson,16,0,0,0.0,0,0,45,12,57,5.0,32.0
Aaron Francisco,16,0,0,0.0,0,0,48,8,56,0.0,0.0
Sean Jones,12,4,27,6.75,20,0,48,8,56,0.0,0.0
Carlos Rogers,16,2,73,36.5,42,0,49,7,56,0.0,0.0
Jamal Williams,16,0,0,0.0,0,0,46,10,56,1.5,5.0
Reggie Nelson,13,2,0,0.0,0,0,49,6,55,0.0,0.0
Haloti Ngata,16,2,8,4.0,7,0,43,12,55,1.0,8.0
Kyle Williams,16,0,0,0.0,0,0,37,18,55,2.0,15.0
Wesley Woodyard,16,0,0,0.0,0,0,47,8,55,0.0,0.0
Rocky Bernard,15,0,0,0.0,0,0,43,12,55,4.0,26.0
Tamba Hali,15,0,0,0.0,0,0,44,11,55,3.0,23.0
Jared Allen,16,0,0,0.0,0,0,41,13,54,14.5,102.5
Kenyon Coleman,16,0,0,0.0,0,0,43,11,54,0.5,2.5
Na'il Diggs,16,1,0,0.0,0,0,43,11,54,1.0,6.0
Walt Harris,16,3,25,8.33,24,0,44,10,54,1.0,0.0
Aaron Rouse,14,2,136,68.0,99,1,40,14,54,0.0,0.0
Fred Smoot,16,1,0,0.0,0,0,43,11,54,0.0,0.0
Darryl Tapp,16,0,0,0.0,0,0,45,9,54,5.5,26.0
Jacques Reeves,16,4,108,27.0,44,1,49,4,53,0.0,0.0
Mark Roman,16,0,0,0.0,0,0,39,14,53,0.0,0.0
Matt Roth,16,0,0,0.0,0,0,46,7,53,5.0,27.0
Mario Williams,16,0,0,0.0,0,0,44,9,53,12.0,82.0
Ray Edwards,15,0,0,0.0,0,0,34,19,53,5.0,26.0
Randall Gay,14,0,0,0.0,0,0,49,4,53,1.0,6.0
Tony Brown,15,0,0,0.0,0,0,38,14,52,4.0,23.0
Phillip Buchanon,16,2,33,16.5,26,1,48,4,52,0.0,0.0
