Player Name,Games Played,Interceptions,Interception Yards,Average Ints per Game,Long,Touchdowns,Sacks,Sack Loss Yards Caused
Bob Swenson,16,1,0,0.0,0,0,--,--
Jack Tatum,15,3,60,20.0,27,0,--,--
Ed Taylor,16,2,0,0.0,0,0,--,--
Emmitt Thomas,16,2,0,0.0,0,0,--,--
Norris Thomas,16,2,63,31.5,53,1,--,--
Pat Thomas,16,8,96,12.0,33,1,--,--
Billy Thompson,16,4,0,0.0,0,0,--,--
Norm Thompson,13,6,52,8.67,31,0,--,--
Dennis Thurman,16,2,35,17.5,23,0,--,--
Loren Toews,11,1,12,12.0,12,0,--,--
Steve Towle,13,1,14,14.0,14,0,--,--
Godwin Turk,16,2,36,18.0,22,0,--,--
John Turner,14,1,15,15.0,15,0,--,--
Brad Van Pelt,14,3,32,10.67,20,0,--,--
Phil Villapiano,16,2,0,0.0,0,0,--,--
Rick Volk,16,4,42,10.5,24,0,--,--
Mike Wagner,14,2,34,17.0,20,0,--,--
Len Walterscheid,14,1,0,0.0,0,0,--,--
Mike Washington,16,5,43,8.6,24,0,--,--
Charlie Waters,16,4,61,15.25,22,0,--,--
Charlie Weaver,16,3,32,10.67,22,0,--,--
Cornell Webster,15,5,9,1.8,14,0,--,--
Roger Wehrli,16,4,3,0.75,3,0,--,--
Jeris White,16,5,56,11.2,31,0,--,--
Stan White,12,1,12,12.0,12,0,--,--
C.L. Whittington,12,1,6,6.0,6,0,--,--
Eric Williams,13,1,24,24.0,24,0,--,--
Gerard Williams,16,4,51,12.75,20,0,--,--
Mike Williams,16,3,23,7.67,23,0,--,--
Reggie Williams,16,1,11,11.0,11,0,--,--
Walt Williams,15,1,2,2.0,2,0,--,--
J.C. Wilson,16,2,10,5.0,10,0,--,--
Phillip Wise,16,2,21,10.5,14,0,--,--
Louis Wright,16,2,2,1.0,2,0,--,--
Nate Wright,16,5,58,11.6,30,0,--,--
Jim Youngblood,16,2,50,25.0,36,0,--,--
Steve Zabel,11,1,0,0.0,0,0,--,--
