PLAYER,YEARS_REVEALED,INTS,INT YARDS,LONG,TOUCHDOWNS,SOLO TACKLES,TACKLE ASSISTS,SACKS,SACK LOSS YARDS CAUSED,FORCED FUMBLES,FUMBLE RECOVERIES,FUMBLE RECOVERY TDS,HOWGOOD RAW SCORE,PERCENTILE,ACTUAL_REMAINING_SEASONS,PREDICTED_REMAINING_SEASONS,RETIREMENT_DIFFERENCE,MEAN_PERCENTILE_DIFFERENCE
A.J. Green,12,0.0,0.0,0.0,0.0,0.008230452674897066,0.0,0.0,0.0,0.0,0.0,0.0,0.008230452674897066,0.0834942962602537,2,1,-1,-0.35754162446973514
A.J. Green,13,0.08333333333333333,0.0,0.0,0.0,0.05075445816186546,0.016771488469601668,0.0,0.0,0.0,0.0,0.0,0.1508592799648005,0.24956940386280763,1,1,0,-0.2662860306374487
A.J. Hawk,3,0.5333333333333334,0.12533553355335533,0.1747311827956989,0.0,1.184988625877732,1.1743983614951357,0.534313725490196,0.21074983023512436,0.0,0.0,0.0,3.9378505927805754,0.8616490467234816,7,5,-2,-0.013195577161113303
A.J. Hawk,4,0.6000000000000001,0.14676398409071675,0.19832735961768216,0.0,1.4917623371143078,1.4293224099675712,0.6056644880174291,0.21423789810980212,0.0,0.0,0.0,4.686078476917509,0.902977628093514,6,4,-2,-0.041512020649862535
A.J. Hawk,5,0.7333333333333334,0.18362984793462622,0.22562926513172546,0.0,1.5766396651641779,1.5520516450307722,0.6262215997510113,0.20061465503324089,0.0,0.0,0.0,5.098120011378887,0.9211164280644242,5,4,-1,-0.04400576239960871
A.J. Hawk,6,0.8666666666666667,0.22049571177853566,0.25293117064576875,0.0,1.4780571358411472,1.6196972250103179,0.46148459383753493,0.14839819689287634,0.0,0.0,0.0,5.047730700672847,0.9171168083338722,4,3,-1,-0.04851439587196593
A.J. Hawk,7,0.8666666666666667,0.20206243032329985,0.22258672012635927,0.0,1.4783457023989983,1.8003057679528267,0.43024927142574193,0.16333336372474466,0.0,0.0,0.0,5.163549922618637,0.9186182838055994,3,2,-1,-0.056589073304665616
A.J. Hawk,8,0.6166666666666667,0.12923611677588345,0.1425052798593467,0.0,1.522732414705408,1.8920489573020352,0.5593314093314092,0.20668416012192622,0.0,0.0,0.0,5.069205004762676,0.9120108087112497,2,1,-1,-0.022063208109719734
A.J. Hawk,9,0.36666666666666664,0.056409803228467045,0.0624238395923341,0.0,1.5931099086338198,1.9217565919327622,0.7227272727272727,0.2375855323049777,0.0,0.0,0.0,4.9606796150863,0.9108207295747772,1,1,0,-0.0100227259221487
A.J. Johnson~,3,0.8,0.3868312757201647,0.3933333333333333,0.3333333333333333,0.0,0.0,0.03174603174603173,0.0,0.0,0.0,0.0,1.945243974132863,0.490931832395247,2,2,0,0.05206965898769897
