Player,Year1,Year2,Year3,Year4,Retire,NextPercentile
Bo Matthews,0.302158273381295,0.4785714285714286,0.5947712418300654,0.5987261146496815,0,0.5792682926829268
Bo Robinson,0.2267441860465116,0.1511627906976744,0.180722891566265,0.3878787878787879,0,0.4810126582278481
Bob Christian,0.1119402985074626,0.3571428571428571,0.5620915032679739,0.4014084507042254,0,0.2866666666666667
Bob Ferrell,0.0588235294117647,0.3248407643312102,0.4634146341463415,0.4534883720930232,1,
Bob Gresham,0.4382022471910112,0.6296296296296297,0.8099173553719008,0.6690647482014388,0,0.5928571428571429
Bob Perryman,0.5054545454545455,0.3766233766233766,0.6363636363636364,0.625,0,0.5684931506849316
Bobby Anderson,0.7439024390243902,0.8426966292134831,0.8611111111111112,0.7933884297520661,0,0.5611510791366906
Bobby Hammond,0.375796178343949,0.5975609756097561,0.6162790697674418,0.6569767441860465,1,
Bobby Humphrey,0.3701298701298701,0.6710526315789473,0.726027397260274,0.5955882352941176,1,
Bobby Morse,0.1527272727272727,0.0324675324675324,0.4805194805194805,0.3815789473684211,0,0.4863013698630137
Bobby Rainey,0.3452380952380952,0.6432748538011696,0.6815642458100558,0.532258064516129,0,0.3114754098360656
Boobie Clark,0.5371900826446281,0.7338129496402878,0.9071428571428573,0.9019607843137256,0,0.7898089171974523
Booker Moore,0.0303030303030303,0.2974683544303797,0.4691358024691358,0.4580645161290322,1,
Booker Russell,0.073170731707317,0.4011627906976744,0.436046511627907,0.463855421686747,1,
Boston Scott,0.2886597938144329,0.5162790697674419,0.7155963302752294,0.6666666666666666,0,0.6101694915254238
Boyce Green,0.2721518987341772,0.5679012345679012,0.5032258064516129,0.4853801169590643,0,0.5890909090909091
Brad Baxter,0.2236842105263158,0.4726027397260274,0.6617647058823529,0.6791044776119403,0,0.6714285714285714
Brad Hoover,0.1870967741935484,0.3424657534246575,0.6158940397350994,0.620253164556962,0,0.7005988023952096
Brad Muster,0.2012987012987013,0.5,0.8157894736842105,0.9041095890410958,0,0.8970588235294118
