Player,Year1,Year2,Year3,Year4,Year5,Year6,Year7,Year8,Year9,Year10,Year11,Year12,Year13,Retire,NextPercentile
Fred Taylor,0.6118421052631579,0.9192546583850932,0.9935483870967742,0.9178082191780822,0.933774834437086,0.9050632911392406,0.9640718562874252,0.9285714285714286,0.9411764705882352,0.9470198675496688,0.9290322580645162,0.8089171974522293,0.538961038961039,1,
Jerome Bettis,0.5298507462686567,0.8071428571428572,0.9019607843137256,0.7816901408450704,0.8533333333333334,0.9078947368421052,0.906832298136646,0.8774193548387097,0.9041095890410958,0.8940397350993378,0.8164556962025317,0.7784431137724551,0.7597402597402597,1,
John Riggins,0.5617977528089888,0.7870370370370371,0.8842975206611571,0.9280575539568344,0.9285714285714286,0.9411764705882352,0.910828025477707,0.8414634146341463,0.9127906976744186,0.7906976744186046,0.7650602409638554,0.6363636363636364,0.879746835443038,0,0.8827160493827161
Keith Byars,0.2163742690058479,0.68,0.8181818181818182,0.9025974025974026,0.9473684210526316,0.9315068493150684,0.9044117647058824,0.9552238805970148,0.9357142857142856,0.9411764705882352,0.7394366197183099,0.6466666666666666,0.8026315789473685,1,
Kevin Faulk,0.1304347826086956,0.4451612903225806,0.7054794520547946,0.8079470198675497,0.8037974683544303,0.8263473053892215,0.6233766233766234,0.803921568627451,0.7814569536423841,0.9161290322580644,0.910828025477707,0.8246753246753247,0.564625850340136,1,
Larry Centers,0.0821917808219178,0.4338235294117647,0.8507462686567164,0.9142857142857144,0.954248366013072,0.943661971830986,0.9133333333333332,0.9276315789473684,0.8881987577639752,0.8903225806451613,0.910958904109589,0.9072847682119204,0.8354430379746836,1,
Lorenzo Neal,0.2462686567164179,0.3785714285714285,0.5228758169934641,0.4436619718309859,0.46,0.5131578947368421,0.5217391304347826,0.4709677419354838,0.273972602739726,0.390728476821192,0.5253164556962026,0.5808383233532934,0.6883116883116883,0,0.8169934640522876
Mack Strong,0.1285714285714285,0.4379084967320261,0.4647887323943662,0.5666666666666667,0.4868421052631579,0.4782608695652174,0.432258064516129,0.5,0.6887417218543046,0.7784810126582279,0.6826347305389222,0.6298701298701299,0.6143790849673203,0,0.6490066225165563
Marcus Allen,0.8484848484848485,0.8860759493670886,1.0,0.9870967741935484,0.9941520467836256,0.9818181818181818,0.922077922077922,0.8831168831168831,0.8289473684210527,0.7328767123287672,0.7720588235294118,0.8880597014925373,0.9071428571428573,0,0.934640522875817
Marshawn Lynch,0.4701986754966887,0.8129032258064516,0.8980891719745223,0.7337662337662337,0.7755102040816326,0.9119496855345912,0.9583333333333334,0.9941520467836256,0.9720670391061452,0.8763440860215054,0.6830601092896175,0.7021276595744681,0.7680412371134021,1,
Mosi Tatupu,0.0182926829268292,0.1104651162790697,0.2151162790697674,0.5783132530120482,0.7393939393939394,0.810126582278481,0.7222222222222222,0.6967741935483871,0.6374269005847953,0.7527272727272727,0.551948051948052,0.487012987012987,0.4078947368421052,1,
Ottis Anderson,0.5116279069767442,0.9069767441860463,0.963855421686747,0.9575757575757576,0.9113924050632912,0.9753086419753086,0.8774193548387097,0.8245614035087719,0.7236363636363636,0.5194805194805194,0.7597402597402597,0.881578947368421,0.815068493150685,0,0.5147058823529411
Ricky Williams,0.124223602484472,0.4967741935483871,0.7534246575342466,0.9205298013245032,0.9367088607594936,0.8562874251497006,0.7207792207792207,0.2679738562091503,0.3642384105960264,0.3032258064516129,0.6751592356687898,0.7532467532467533,0.7346938775510204,1,
Thurman Thomas,0.1688311688311688,0.6493506493506493,0.9802631578947368,1.0,1.0,0.9850746268656716,0.9857142857142858,0.9477124183006536,0.9577464788732394,0.8933333333333333,0.8618421052631579,0.7639751552795031,0.7741935483870968,1,
Tony Richardson,0.1176470588235294,0.323943661971831,0.56,0.7039473684210527,0.7391304347826086,0.8580645161290322,0.8835616438356164,0.8145695364238411,0.6329113924050633,0.5029940119760479,0.512987012987013,0.5424836601307189,0.5298013245033113,0,0.5225806451612903
Walter Payton,0.4428571428571428,0.8300653594771242,0.9808917197452228,1.0,1.0,1.0,0.993975903614458,0.9454545454545454,0.9493670886075948,0.9938271604938272,1.0,1.0,0.9709090909090908,1,
Zack Crockett,0.0588235294117647,0.2323943661971831,0.4133333333333333,0.3815789473684211,0.4658385093167702,0.5161290322580645,0.678082191780822,0.6357615894039735,0.7025316455696202,0.7664670658682635,0.7402597402597403,0.6078431372549019,0.3245033112582781,1,
