Player,Year1,Year2,Year3,Year4,Year5,Year6,Retire,NextPercentile
Cadillac Williams,0.3246753246753247,0.5555555555555556,0.695364238410596,0.5161290322580645,0.6624203821656051,0.7857142857142857,0,0.8163265306122449
Calvin Thomas,0.006060606060606,0.0886075949367088,0.3580246913580246,0.5161290322580645,0.6198830409356725,0.6981818181818182,0,0.2922077922077922
Carl Garrett,0.6951219512195121,0.8539325842696629,0.8888888888888888,0.9090909090909092,0.841726618705036,0.8428571428571429,0,0.7450980392156863
Carlos Hyde,0.2046783625730994,0.435754189944134,0.7150537634408602,0.825136612021858,0.7978723404255319,0.788659793814433,0,0.7581395348837209
Carwell Gardner,0.0197368421052631,0.1232876712328767,0.3529411764705882,0.4776119402985074,0.6285714285714286,0.6535947712418301,0,0.5985915492957746
Cecil Sapp,0.0316455696202531,0.2874251497005988,0.4415584415584415,0.5882352941176471,0.5761589403973509,0.4129032258064516,1,
Cedric Benson,0.1038961038961039,0.457516339869281,0.6357615894039735,0.7741935483870968,0.8280254777070064,0.7792207792207793,0,0.7278911564625851
Cedric Peerman,0.0324675324675324,0.1292517006802721,0.5094339622641509,0.5,0.4912280701754385,0.1117318435754189,0,0.1666666666666666
Cedric Smith,0.0328947368421052,0.0205479452054794,0.0147058823529411,0.0,0.2785714285714286,0.4248366013071895,0,0.5140845070422535
Chad Morton,0.1935483870967742,0.1917808219178082,0.2649006622516556,0.3417721518987341,0.3892215568862275,0.2727272727272727,0,0.5032679738562091
Charles Alexander,0.1860465116279069,0.4418604651162791,0.6987951807228916,0.806060606060606,0.7341772151898734,0.7037037037037037,0,0.6516129032258065
Charles White,0.1860465116279069,0.4277108433734939,0.7878787878787878,0.5316455696202531,0.4382716049382716,0.2967741935483871,0,0.543859649122807
Charlie Garner,0.1928571428571428,0.5555555555555556,0.8028169014084507,0.86,0.8092105263157895,0.937888198757764,0,0.9612903225806452
Chase Edmonds,0.1542553191489361,0.4742268041237113,0.7767441860465116,0.9128440366972476,0.8725490196078431,0.7853107344632768,1,
Chester Taylor,0.1920529801324503,0.4367088607594936,0.7305389221556886,0.8051948051948052,0.8888888888888888,0.8874172185430463,0,0.864516129032258
Chris Brown,0.120253164556962,0.4011976047904191,0.7272727272727273,0.7450980392156863,0.7417218543046358,0.3935483870967742,0,0.4777070063694267
Chris Fuamatu Ma Afala,0.2434210526315789,0.3043478260869565,0.6193548387096774,0.7328767123287672,0.7417218543046358,0.6962025316455697,0,0.4850299401197604
Chris Hetherington,0.031055900621118,0.2516129032258064,0.410958904109589,0.3774834437086092,0.1392405063291139,0.0838323353293413,0,0.1558441558441558
Chris Ivory,0.2727272727272727,0.4625850340136054,0.7295597484276729,0.7857142857142857,0.8187134502923976,0.8938547486033519,0,0.8118279569892473
