Player,Year1,Year2,Year3,Year4,Year5,Year6,Year7,Year8,Year9,Year10,Year11,Year12,Year13,Year14,Retire,NextPercentile
Frank Gore,0.1574642126789366,0.5032119914346895,0.7551867219917012,0.8103092783505155,0.8285123966942148,0.8153526970954357,0.7619047619047619,0.6978967495219885,0.6343873517786561,0.6195219123505976,0.6098039215686275,0.7380497131931166,0.7495145631067961,0.7546816479400749,0,0.6795580110497238
Greg Olsen,0.3485477178423236,0.6783505154639176,0.8739669421487604,0.8402489626556017,0.8333333333333334,0.869980879541109,0.924901185770751,0.950199203187251,0.9588235294117649,0.9732313575525812,0.9359223300970874,0.8857677902621723,0.8379373848987108,0.8306306306306306,1,
Harold Carmichael,0.4894736842105263,0.6542056074766355,0.9617021276595744,1.0,1.0,0.98125,0.9654088050314464,0.9762611275964392,0.994550408719346,0.9889196675900276,0.9536784741144414,0.9283667621776504,0.9051490514905148,0.8060453400503779,1,
Henry Ellard,0.2222222222222222,0.6624685138539043,0.888,0.9207920792079208,0.956738768718802,0.9706666666666668,0.9974093264248703,0.9973045822102424,0.9948320413436692,0.9839142091152816,0.9757412398921832,0.984375,0.9830508474576272,0.985645933014354,0,0.9391727493917276
Hines Ward,0.3293269230769231,0.7015945330296127,0.8855140186915887,0.9133489461358314,0.977924944812362,0.9917355371900828,0.989816700610998,0.9918200408997956,0.9721627408993576,0.966804979253112,0.9567010309278352,0.962809917355372,0.9605809128630706,0.9067460317460316,1,
Irving Fryar,0.216624685138539,0.696,0.8762376237623762,0.961730449251248,0.9306666666666666,0.9196891191709844,0.921832884097035,0.937984496124031,0.967828418230563,0.981132075471698,0.9869791666666666,0.9854721549636803,0.9904306220095692,0.9878345498783456,0,0.9783653846153846
Isaac Bruce,0.3854166666666667,0.847457627118644,0.971291866028708,0.9829683698296836,0.935096153846154,0.9567198177676538,0.9766355140186916,0.9859484777517564,0.9668874172185432,0.950413223140496,0.9470468431771896,0.9243353783231084,0.9143468950749464,0.9398340248962656,0,0.9628865979381444
James Lofton,0.6083086053412463,0.8692098092643051,0.9833795013850416,0.997275204359673,0.994269340974212,1.0,1.0,0.9946666666666668,0.9504950495049505,0.9650582362728786,0.9386666666666666,0.9378238341968912,0.8921832884097035,0.9198966408268734,0,0.9785522788203752
Jason Witten,0.390495867768595,0.7169042769857433,0.901840490797546,0.9229122055674518,0.9564315352697096,0.9608247422680412,0.9772727272727272,0.9854771784232366,0.9722222222222222,0.9694072657743786,0.9545454545454546,0.954183266932271,0.9294117647058824,0.9024856596558316,0,0.8543689320388349
Jerry Rice,0.5333333333333333,0.9257425742574258,1.0,1.0,1.0,1.0,1.0,1.0,0.9973045822102424,0.9973958333333334,1.0,1.0,0.951338199513382,0.9182692307692308,0,0.8906605922551253
Jimmy Graham,0.3381742738589212,0.8194444444444444,0.959847036328872,0.9901185770750988,0.9741035856573704,0.9627450980392156,0.9196940726577438,0.9281553398058252,0.9288389513108616,0.8987108655616943,0.8774774774774775,0.8237410071942446,0.5894538606403014,0.5098039215686274,1,
Joey Galloway,0.612590799031477,0.8564593301435407,0.97323600973236,0.9831730769230768,0.9703872437357632,0.8925233644859814,0.8266978922716628,0.891832229580574,0.9380165289256198,0.9266802443991852,0.9570552147239264,0.9785867237687366,0.9937759336099584,0.936082474226804,0,0.8161157024793388
John Riggins,0.5368421052631579,0.6495327102803738,0.7361702127659574,0.7228464419475655,0.7412587412587412,0.746875,0.710691823899371,0.6795252225519288,0.7193460490463215,0.5290858725761773,0.4713896457765668,0.3495702005730659,0.3983739837398374,0.3350125944584383,0,0.184
John Stallworth,0.4157303370786517,0.7097902097902098,0.803125,0.9088050314465408,0.9376854599406528,0.997275204359673,0.9529085872576176,0.9073569482288828,0.8853868194842407,0.8888888888888888,0.9571788413098236,0.9546666666666668,0.9702970297029704,0.9417637271214644,1,
Keenan Mccardell,0.1581769436997319,0.5633423180592992,0.7526041666666666,0.8450363196125908,0.9138755980861244,0.9562043795620438,0.9735576923076924,0.9726651480637812,0.9462616822429908,0.9414519906323184,0.9381898454746136,0.962809917355372,0.9348268839103868,0.952965235173824,0,0.8779443254817987
Larry Fitzgerald,0.4867617107942973,0.8977505112474438,0.987152034261242,0.991701244813278,0.9938144329896909,0.993801652892562,0.995850622406639,0.996031746031746,0.994263862332696,0.982213438735178,0.9462151394422312,0.9607843137254902,0.9521988527724664,0.9728155339805824,0,0.9662921348314608
Lorenzo Neal,0.0338541666666666,0.3268765133171913,0.430622009569378,0.4987834549878345,0.3677884615384615,0.4100227790432801,0.3878504672897196,0.4519906323185012,0.5165562913907285,0.506198347107438,0.4541751527494908,0.4519427402862985,0.4047109207708779,0.3568464730290456,0,0.2556701030927835
Mack Strong,0.0026041666666666,0.0920096852300242,0.2631578947368421,0.4939172749391727,0.3822115384615384,0.296127562642369,0.2733644859813084,0.4402810304449648,0.5518763796909493,0.6239669421487604,0.6130346232179226,0.6523517382413088,0.4582441113490364,0.5062240663900415,1,
