Player,Year1,Year2,Year3,Year4,Year5,Year6,Year7,Year8,Year9,Year10,Year11,Year12,Year13,Year14,Year15,Year16,Year17,Year18,Year19,Retire,NextPercentile
Keith Smith,0.5957317073170731,0.6348246674727932,0.656004828002414,0.7891602144133413,0.7728365384615384,0.7667464114832536,0.472909305064782,0.2705811138014528,0.0440821256038647,0.0437387657279808,0.5462134764460346,0.5299703264094956,0.5519061583577712,0.625,0.642603550295858,0.717948717948718,0.6410256410256411,0.6423231742380678,0.4474940334128878,0,0.5452261306532663
Maurice Smith,0.4058823529411764,0.4021447721179624,0.3994894703254626,0.2583436341161928,0.0512195121951219,0.0326481257557436,0.0325890162945081,0.0327575938058368,0.0372596153846153,0.0370813397129186,0.0400471142520612,0.0405569007263922,0.0440821256038647,0.0437387657279808,0.0429338103756708,0.0409495548961424,0.039882697947214,0.1226635514018691,0.3514792899408284,1,
Michael Bennett,0.1233243967828418,0.1991065730695596,0.2058096415327565,0.1115853658536585,0.0326481257557436,0.0941460470730235,0.1399642644431209,0.1550480769230769,0.2117224880382775,0.2446172248803828,0.4240282685512367,0.4534746760895171,0.7094430992736077,0.8617149758454107,0.9418813660874776,0.9481216457960644,0.9026706231454006,0.8409495548961424,0.8164222873900293,0,0.7587616822429907
Mike Adams,0.5493902439024391,0.8246674727932285,0.859987929993965,0.8665872543180465,0.7566105769230769,0.791267942583732,0.8392226148409894,0.8910411622276029,0.8810386473429952,0.8671497584541062,0.7465548232474536,0.6860395446375075,0.6893261776982708,0.7734048896839595,0.9602373887240356,0.9882697947214076,0.9970794392523364,0.981656804733728,0.9045915324985092,1,
Reggie White,0.2587800369685767,0.5422794117647058,0.8601190476190477,0.8773584905660378,0.8574108818011257,0.8686679174484052,0.8555347091932458,0.7732342007434945,0.4776951672862453,0.3377609108159393,0.3648393194706994,0.3931947069943289,0.1945392491467577,0.1740614334470989,0.4337349397590361,0.592964824120603,0.7801302931596091,0.6146645865834633,0.7955882352941176,0,0.6239946380697051
Robert Thomas,0.3419117647058823,0.2513404825737265,0.2916400765794512,0.2348436502871729,0.6372064276885043,0.7036585365853658,0.7654171704957679,0.7235968617984309,0.7355568790946992,0.6538461538461539,0.604066985645933,0.2296819787985865,0.0405569007263922,0.0440821256038647,0.0437387657279808,0.0429338103756708,0.1916913946587537,0.4780058651026393,0.5595794392523364,1,
Steve Smith,0.1233243967828418,0.3075941289087428,0.3980222496909765,0.3896341463414634,0.3724304715840387,0.2957151478575739,0.3156640857653365,0.2890625,0.2836538461538461,0.1961722488038277,0.1955741626794258,0.1996466431095406,0.1996466431095406,0.2487893462469733,0.2941888619854721,0.3484299516908212,0.2822049131216297,0.3166368515205724,0.2255192878338278,0,0.5266862170087977
Tim Johnson,0.1132075471698113,0.1932457786116322,0.3264540337711069,0.4071294559099437,0.3847583643122677,0.3889943074003795,0.2665406427221172,0.2389078498293515,0.2289156626506024,0.1708542713567839,0.1156351791530944,0.0717628705148206,0.0235294117647058,0.0201072386058981,0.3707721761327377,0.572929542645241,0.6719512195121952,0.6910519951632407,0.6403138201569101,1,
Tom Brady,0.2446380697050938,0.2520740268028079,0.2583436341161928,0.1926829268292683,0.1644498186215235,0.1617380808690404,0.0327575938058368,0.0372596153846153,0.0370813397129186,0.0400471142520612,0.0405569007263922,0.1630434782608695,0.1252246854403834,0.1991651759093619,0.2456973293768546,0.2545454545454545,0.1921728971962616,0.1159763313609467,0.1502683363148479,0,0.1404428904428904
Will Allen,0.6809651474530831,0.7402680280791321,0.8053152039555006,0.7621951219512195,0.7609756097560976,0.8228536880290206,0.8881499395405078,0.8992154496077248,0.8593844296922148,0.7689100655151876,0.7200714711137582,0.6826923076923077,0.7109375,0.6979665071770335,0.65311004784689,0.6060070671378092,0.5671912832929782,0.5490314769975787,0.6286231884057971,0,0.7956860395446375
