Player,Year1,Year2,Year3,Year4,Year5,Year6,Year7,Year8,Year9,Year10,Year11,Retire,NextPercentile
Brent Grimes,0.4252531268612269,0.6274038461538461,0.812799043062201,0.9199057714958776,0.9340193704600483,0.856280193236715,0.8813660874775314,0.937984496124031,0.9750741839762612,0.9771260997067448,0.9550233644859814,0,0.9301775147928996
Brentson Buckner,0.1890359168241966,0.5324232081911263,0.621342512908778,0.5360134003350083,0.3436482084690553,0.3166926677067083,0.7727941176470589,0.8605898123324397,0.8838544990427568,0.8337453646477132,0.824390243902439,0,0.7986698911729141
Brett Keisel,0.4492661135928525,0.4585908529048207,0.4969512195121951,0.6789600967351874,0.8026554013277006,0.840381179273377,0.8064903846153846,0.8319377990430622,0.9234393404004712,0.9509685230024212,0.9341787439613528,0,0.8867585380467345
Brett Maxie,0.3272058823529412,0.7291666666666666,0.6584905660377358,0.6716697936210131,0.6697936210131332,0.8705440900562852,0.8698884758364313,0.6375711574952562,0.3534971644612476,0.6535836177474402,0.7538726333907056,0,0.7638190954773869
Brian Dawkins,0.5094664371772806,0.7721943048576214,0.9006514657980456,0.9750390015600624,0.9933823529411764,0.9946380697050938,0.990427568602425,0.9684796044499382,0.9701219512195122,0.9625151148730352,0.991550995775498,0,0.9720071471113758
Brian Finneran,0.3102941176470588,0.5529490616621984,0.5558391831525208,0.5661310259579728,0.4024390243902439,0.4292623941958887,0.4254677127338563,0.2638475282906491,0.125,0.5155502392344498,0.6012956419316844,1,
Brian Jennings,0.4080882352941176,0.420911528150134,0.4288449266113593,0.3875154511742892,0.3359756097560976,0.5683192261185006,0.6203983101991551,0.6289458010720667,0.5552884615384616,0.4557416267942584,0.4416961130742049,0,0.4291767554479418
Brian Jones,0.0733788395904436,0.0740103270223752,0.0720268006700167,0.0684039087947882,0.0717628705148206,0.0235294117647058,0.0201072386058981,0.0153158902361199,0.0210135970333745,0.3347560975609756,0.435912938331318,1,
Brian Kelly,0.2003257328990228,0.3806552262090483,0.7808823529411765,0.8022788203753352,0.9081046585832802,0.8671199011124846,0.9335365853658536,0.8796856106408706,0.8702474351237176,0.7814175104228708,0.6388221153846154,1,
Brian Mitchell,0.2851782363977486,0.3810408921933085,0.3643263757115749,0.1701323251417769,0.0631399317406143,0.06368330464716,0.0586264656616415,0.0684039087947882,0.0717628705148206,0.4375,0.4296246648793566,0,0.4511805998723676
Brian Moorman,0.2446380697050938,0.2827058072750478,0.3331273176761434,0.2676829268292683,0.1874244256348246,0.100181050090525,0.0327575938058368,0.0372596153846153,0.0370813397129186,0.0400471142520612,0.1035108958837772,1,
Brian Robison,0.6622989874925551,0.7367788461538461,0.8181818181818182,0.8027090694935218,0.8983050847457628,0.9402173913043478,0.9682444577591371,0.9212880143112702,0.8896142433234422,0.9143695014662756,0.9129672897196262,1,
Brian Urlacher,0.7911764705882353,0.9617962466487936,0.99617102744097,0.9888751545117428,0.972560975609756,0.9570737605804112,0.9770669885334944,0.9952352590827874,0.9903846153846154,0.9461722488038278,0.911660777385159,0,0.9309927360774818
Brian Williams,0.0654044750430292,0.2428810720268006,0.2915309446254072,0.4960998439937597,0.7,0.7037533512064343,0.6285896617740906,0.6464582003828973,0.9097651421508036,0.9591463414634146,0.9830713422007256,0,0.9227519613759808
Brock Marion,0.2409867172675522,0.4064272211720227,0.7901023890784983,0.7056798623063684,0.5912897822445561,0.0684039087947882,0.4680187207488299,0.8705882352941177,0.9859249329758714,0.99234205488194,0.9907292954264524,0,0.9609756097560976
