Player,Year1,Year2,Year3,Year4,Year5,Year6,Year7,Year8,Year9,Year10,Year11,Year12,Year13,Retire,NextPercentile
Danny Amendola,0.2644628099173554,0.6576763485477178,0.7599206349206349,0.8145315487571702,0.8241106719367589,0.8366533864541833,0.8529411764705882,0.7877629063097514,0.8310679611650486,0.8333333333333334,0.8950276243093923,0.8972972972972973,0.8579136690647482,1,
Darren Sproles,0.0797546012269938,0.0770877944325481,0.2302904564315352,0.5175257731958763,0.8099173553719008,0.8941908713692946,0.9444444444444444,0.9426386233269598,0.9387351778656128,0.9123505976095616,0.8372549019607843,0.8527724665391969,0.7398058252427184,0,0.7322097378277154
Dave Moore,0.1662198391420911,0.4150943396226415,0.59375,0.5907990314769975,0.631578947368421,0.6885644768856448,0.7524038461538461,0.7517084282460137,0.7453271028037384,0.7845433255269321,0.739514348785872,0.6425619834710744,0.5295315682281059,0,0.5194274028629857
Deion Sanders,0.0025906735751295,0.0,0.2041343669250646,0.4262734584450402,0.633423180592992,0.4713541666666667,0.4915254237288136,0.4282296650717703,0.389294403892944,0.5048076923076923,0.3804100227790433,0.3551401869158878,0.0702576112412178,0,0.0110375275938189
Delanie Walker,0.171306209850107,0.4211618257261411,0.6474226804123712,0.6508264462809917,0.6369294605809128,0.6388888888888888,0.7036328871892925,0.7628458498023716,0.8386454183266933,0.9274509803921568,0.9445506692160612,0.9553398058252428,0.8576779026217228,0,0.7550644567219152
Derrick Mason,0.1143552311435523,0.5600961538461539,0.7107061503416856,0.8411214953271028,0.9203747072599532,0.9735099337748344,0.987603305785124,0.9857433808553973,0.985685071574642,0.9464668094218416,0.946058091286307,0.9422680412371134,0.9731404958677686,0,0.975103734439834
Desean Jackson,0.5443298969072164,0.8636363636363636,0.966804979253112,0.9742063492063492,0.9464627151051626,0.9624505928853756,0.9780876494023903,0.9882352941176472,0.97131931166348,0.945631067961165,0.9625468164794008,0.9134438305709024,0.8792792792792793,0,0.829136690647482
Don Warren,0.3106267029972752,0.5263157894736842,0.6975476839237057,0.7564469914040115,0.7913279132791328,0.783375314861461,0.6666666666666666,0.5816831683168316,0.6206322795341098,0.2426666666666666,0.3730569948186528,0.4932614555256064,0.5788113695090439,0,0.4075067024128686
Donald Driver,0.1731207289293849,0.5747663551401869,0.7330210772833724,0.9050772626931568,0.9173553719008264,0.9714867617107944,0.9795501022494888,0.9957173447537472,0.9896265560165975,0.9896907216494846,0.975206611570248,0.9564315352697096,0.9087301587301588,0,0.8087954110898662
Drew Hill,0.2779291553133515,0.6011080332409973,0.8010899182561307,0.7765042979942693,0.5582655826558266,0.6272040302267002,0.8826666666666667,0.9851485148514852,0.9983361064891848,0.9946666666666668,0.9896373056994818,0.981132075471698,0.9612403100775194,0,0.935656836461126
Earnest Byner,0.2090680100755667,0.5146666666666667,0.7128712871287128,0.8635607321131448,0.84,0.8419689119170984,0.7601078167115903,0.7338501291989664,0.7158176943699732,0.7142857142857143,0.6484375,0.7070217917675545,0.7200956937799043,0,0.7104622871046229
Ed Mccaffrey,0.2377260981912144,0.5951742627345844,0.7654986522911051,0.796875,0.7796610169491526,0.8325358851674641,0.8759124087591241,0.9278846153846154,0.9681093394077448,0.9906542056074766,0.9484777517564404,0.9536423841059604,0.8409090909090909,1,
Ed West,0.2644836272040302,0.3866666666666666,0.6732673267326733,0.8119800332778702,0.72,0.7564766839378239,0.7628032345013477,0.8087855297157622,0.6434316353887399,0.5660377358490566,0.6171875,0.7191283292978208,0.6842105263157895,0,0.5644768856447688
Eddie Kennison,0.5430622009569378,0.7639902676399026,0.8389423076923077,0.8610478359908884,0.866822429906542,0.8875878220140515,0.911699779249448,0.9318181818181818,0.9674134419551936,0.967280163599182,0.9678800856531048,0.9066390041493776,0.6989690721649484,1,
Emmitt Smith,0.0026954177897574,0.0025839793281653,0.1849865951742627,0.5768194070080862,0.7604166666666666,0.7869249394673123,0.6291866028708134,0.5109489051094891,0.3557692307692308,0.4464692482915717,0.3504672897196261,0.4168618266978923,0.3973509933774834,0,0.493801652892562
Eric Metcalf,0.4041450777202072,0.6630727762803235,0.7932816537467701,0.7533512064343163,0.7681940700808625,0.78125,0.900726392251816,0.930622009569378,0.9318734793187348,0.84375,0.7699316628701595,0.5607476635514018,0.2763466042154566,1,
Franco Harris,0.3364485981308411,0.4297872340425532,0.6479400749063671,0.6573426573426573,0.715625,0.610062893081761,0.5222551928783383,0.5776566757493188,0.6648199445983379,0.659400544959128,0.673352435530086,0.6260162601626016,0.5037783375314862,1,
Frank Gore,0.1574642126789366,0.5032119914346895,0.7551867219917012,0.8103092783505155,0.8285123966942148,0.8153526970954357,0.7619047619047619,0.6978967495219885,0.6343873517786561,0.6195219123505976,0.6098039215686275,0.7380497131931166,0.7495145631067961,0,0.7546816479400749
Frank Lewis,0.2052631578947368,0.602803738317757,0.8170212765957446,0.902621722846442,0.8846153846153846,0.8625,0.8270440251572327,0.8991097922848664,0.9455040871934604,0.9584487534626038,0.9645776566757494,0.9484240687679084,0.94579945799458,1,
Fred Taylor,0.3942307692307692,0.5808656036446469,0.647196261682243,0.4496487119437939,0.5849889624724062,0.7252066115702479,0.8044806517311609,0.7525562372188139,0.6873661670235546,0.553941908713693,0.465979381443299,0.3801652892561983,0.3153526970954357,1,
Greg Olsen,0.3485477178423236,0.6783505154639176,0.8739669421487604,0.8402489626556017,0.8333333333333334,0.869980879541109,0.924901185770751,0.950199203187251,0.9588235294117649,0.9732313575525812,0.9359223300970874,0.8857677902621723,0.8379373848987108,0,0.8306306306306306
Harold Carmichael,0.4894736842105263,0.6542056074766355,0.9617021276595744,1.0,1.0,0.98125,0.9654088050314464,0.9762611275964392,0.994550408719346,0.9889196675900276,0.9536784741144414,0.9283667621776504,0.9051490514905148,0,0.8060453400503779
Henry Ellard,0.2222222222222222,0.6624685138539043,0.888,0.9207920792079208,0.956738768718802,0.9706666666666668,0.9974093264248703,0.9973045822102424,0.9948320413436692,0.9839142091152816,0.9757412398921832,0.984375,0.9830508474576272,0,0.985645933014354
Hines Ward,0.3293269230769231,0.7015945330296127,0.8855140186915887,0.9133489461358314,0.977924944812362,0.9917355371900828,0.989816700610998,0.9918200408997956,0.9721627408993576,0.966804979253112,0.9567010309278352,0.962809917355372,0.9605809128630706,0,0.9067460317460316
Hoby Brenner,0.1743869209809264,0.4412607449856733,0.7317073170731707,0.8765743073047859,0.9066666666666666,0.8688118811881188,0.8868552412645591,0.7253333333333334,0.7253886010362695,0.6792452830188679,0.7157622739018088,0.6407506702412868,0.6738544474393531,1,
Howard Cross,0.1528497409326424,0.3261455525606469,0.5762273901808785,0.5817694369973191,0.7008086253369272,0.7630208333333334,0.784503631961259,0.715311004784689,0.5060827250608273,0.2908653846153846,0.2619589977220957,0.2593457943925233,0.2950819672131147,1,
Irving Fryar,0.216624685138539,0.696,0.8762376237623762,0.961730449251248,0.9306666666666666,0.9196891191709844,0.921832884097035,0.937984496124031,0.967828418230563,0.981132075471698,0.9869791666666666,0.9854721549636803,0.9904306220095692,0,0.9878345498783456
Isaac Bruce,0.3854166666666667,0.847457627118644,0.971291866028708,0.9829683698296836,0.935096153846154,0.9567198177676538,0.9766355140186916,0.9859484777517564,0.9668874172185432,0.950413223140496,0.9470468431771896,0.9243353783231084,0.9143468950749464,0,0.9398340248962656
James Lofton,0.6083086053412463,0.8692098092643051,0.9833795013850416,0.997275204359673,0.994269340974212,1.0,1.0,0.9946666666666668,0.9504950495049505,0.9650582362728786,0.9386666666666666,0.9378238341968912,0.8921832884097035,0,0.9198966408268734
Jared Cook,0.1694214876033057,0.4979253112033195,0.7777777777777778,0.8508604206500956,0.8794466403162056,0.8824701195219123,0.8392156862745098,0.8202676864244742,0.7728155339805826,0.897003745318352,0.9502762430939228,0.9441441441441442,0.9262589928057554,1,
