Player,Year1,Year2,Year3,Year4,Year5,Retire,NextPercentile
Anthony Thomas,0.2084309133489461,0.4437086092715231,0.5144628099173554,0.4928716904276985,0.3456032719836401,0,0.4689507494646681
Anthony Toney,0.3118811881188119,0.740432612312812,0.6853333333333333,0.5984455958549223,0.522911051212938,1,
Antone Smith,0.0331950207468879,0.0099206349206349,0.0382409177820267,0.0612648221343873,0.4163346613545817,0,0.4019607843137255
Antonio Brown,0.2738589211618257,0.7757936507936508,0.9101338432122372,0.9802371541501976,0.99402390438247,0,1.0
Antonio Bryant,0.5584988962472406,0.7954545454545454,0.9164969450101832,0.9284253578732108,0.9336188436830836,0,0.8443983402489627
Antonio Chatman,0.0495867768595041,0.2932790224032586,0.6707566462167689,0.7580299785867237,0.7365145228215768,0,0.5670103092783505
Antonio Freeman,0.3220338983050847,0.6985645933014354,0.9148418491484184,0.9927884615384616,1.0,0,0.985981308411215
Antonio Gates,0.402892561983471,0.824847250509165,0.9631901840490796,0.9914346895074948,0.9854771784232366,0,0.9670103092783504
Antony Auclair,0.2174757281553398,0.3689138576779026,0.565377532228361,0.3009009009009009,0.3309352517985611,1,
Antowain Smith,0.1313868613138686,0.1899038461538461,0.4920273348519362,0.4275700934579439,0.6182669789227166,0,0.6445916114790287
Antwaan Randle El,0.4216335540838852,0.6818181818181818,0.7718940936863544,0.7955010224948875,0.7644539614561028,0,0.8236514522821576
Archie Griffin,0.24375,0.4874213836477987,0.7032640949554896,0.8092643051771117,0.7617728531855956,0,0.6893732970027248
Arian Foster,0.1487603305785124,0.6348547717842323,0.8293650793650794,0.8814531548757171,0.782608695652174,0,0.7629482071713147
Arnaz Battle,0.0495867768595041,0.2892057026476578,0.5603271983640081,0.8115631691648822,0.8319502074688797,0,0.8412371134020619
Arrelious Benn,0.3485477178423236,0.6706349206349206,0.7265774378585086,0.5118577075098815,0.0756972111553784,0,0.0039215686274509
Art Malone,0.1875,0.6842105263157895,0.8504672897196262,0.8936170212765957,0.8352059925093633,0,0.6433566433566433
Art Monk,0.5595567867036011,0.8801089918256131,0.9169054441260746,0.940379403794038,0.9546599496221664,0,0.976
Arthur Cox,0.086720867208672,0.3526448362720403,0.672,0.7599009900990099,0.7953410981697171,0,0.4693333333333333
Ashley Lelie,0.5452538631346578,0.8099173553719008,0.945010183299389,0.950920245398773,0.9314775160599572,0,0.8174273858921162
Aubrey Matthews,0.3217821782178218,0.7603993344425957,0.8106666666666666,0.7590673575129534,0.6981132075471698,0,0.6020671834625323
Aundra Thompson,0.050314465408805,0.5074183976261127,0.7602179836512262,0.8698060941828255,0.782016348773842,0,0.7449856733524355
Austin Collie,0.5227272727272727,0.8029045643153527,0.9126984126984128,0.8030592734225621,0.691699604743083,1,
Austin Seferian Jenkins,0.1932270916334661,0.5588235294117647,0.745697896749522,0.7514563106796116,0.6573033707865169,1,
Aveion Cason,0.0585480093676815,0.4326710816777042,0.5929752066115702,0.4969450101832994,0.4314928425357873,0,0.3297644539614561
Az Zahir Hakim,0.2980769230769231,0.7471526195899773,0.8738317757009346,0.8477751756440282,0.8543046357615894,0,0.7933884297520661
B J Askew,0.1405295315682281,0.3803680981595092,0.5267665952890792,0.6369294605809128,0.5484536082474227,0,0.4855371900826446
Bam Morris,0.2630208333333333,0.360774818401937,0.5885167464114832,0.5279805352798054,0.5817307692307693,0,0.3097949886104784
Barry Foster,0.091644204851752,0.3229974160206718,0.5201072386058981,0.5714285714285714,0.5494791666666666,1,
Barry Redden,0.0487106017191977,0.046070460704607,0.2795969773299748,0.4053333333333333,0.599009900990099,0,0.7021630615640599
Barry Sanders,0.1839378238341968,0.5309973045822103,0.7416020671834626,0.7265415549597856,0.6118598382749326,0,0.5885416666666666
Barry Word,0.194675540765391,0.0773333333333333,0.1036269430051813,0.0377358490566037,0.0801033591731266,0,0.2144772117962466
Barty Smith,0.3006993006993007,0.46875,0.6792452830188679,0.7270029673590505,0.7547683923705722,1,
Bear Pascoe,0.1219008264462809,0.3091286307053942,0.5,0.5506692160611855,0.5474308300395256,0,0.4402390438247012
Ben Coates,0.1937984496124031,0.3994638069705093,0.7735849056603774,0.90625,0.9346246973365616,0,0.916267942583732
Ben Hartsock,0.1140529531568228,0.2556237218813906,0.4475374732334047,0.6058091286307054,0.5608247422680412,0,0.5165289256198347
Ben Obomanu 2,0.2863070539419087,0.268041237113402,0.506198347107438,0.6452282157676349,0.8055555555555556,0,0.7877629063097514
Benjamin Watson,0.1242362525458248,0.4907975460122699,0.7259100642398287,0.7966804979253111,0.7298969072164948,0,0.7789256198347108
