Player,Year1,Year2,Year3,Year4,Year5,Year6,Year7,Year8,Year9,Retire,NextPercentile
Brandon Bolden,0.135755258126195,0.3656126482213438,0.3884462151394422,0.5,0.4493307839388145,0.566990291262136,0.4419475655430712,0.567219152854512,0.3819819819819819,0,0.579136690647482
Brandon Lafell,0.3838174273858921,0.75,0.8986615678776291,0.9110671936758892,0.9203187250996016,0.9176470588235294,0.9426386233269598,0.9242718446601942,0.8932584269662921,1,
Brandon Lloyd,0.3677685950413223,0.6863543788187373,0.8752556237218814,0.8736616702355461,0.7572614107883817,0.6639175257731958,0.6177685950413223,0.9273858921161826,0.9543650793650794,0,0.988527724665392
Brandon Manumaleuna,0.1733021077283372,0.4591611479028697,0.6714876033057852,0.7087576374745418,0.6421267893660532,0.569593147751606,0.5373443983402489,0.6247422680412371,0.5144628099173554,0,0.4937759336099585
Brandon Marshall,0.3019271948608137,0.7800829875518672,0.9278350515463918,0.981404958677686,0.9813278008298756,0.984126984126984,0.982791586998088,0.9881422924901184,0.9820717131474104,0,0.9901960784313726
Brandon Stokley,0.3690205011389522,0.6378504672897196,0.8056206088992974,0.8167770419426048,0.7975206611570248,0.8859470468431772,0.9141104294478528,0.8907922912205567,0.8568464730290456,0,0.843298969072165
Brandon Tate,0.0495867768595041,0.3589211618257261,0.365079365079365,0.5946462715105163,0.3379446640316205,0.5936254980079682,0.5784313725490197,0.7208413001912046,0.6640776699029126,1,
Brent Celek,0.2842323651452282,0.6103092783505155,0.8925619834710744,0.921161825726141,0.9583333333333334,0.9216061185468452,0.9071146245059288,0.8167330677290837,0.792156862745098,0,0.7017208413001912
Brent Jones,0.4126455906821963,0.3573333333333333,0.6994818652849741,0.7897574123989218,0.8397932816537468,0.8498659517426274,0.7951482479784366,0.875,0.8111380145278451,0,0.8301435406698564
Brett Perriman,0.2986666666666667,0.616580310880829,0.816711590296496,0.8708010335917312,0.8900804289544236,0.8706199460916442,0.890625,0.9491525423728814,0.9641148325358851,0,0.9635036496350364
Brian Baschnagel,0.628125,0.660377358490566,0.7299703264094956,0.6403269754768393,0.7313019390581718,0.8092643051771117,0.8194842406876791,0.7804878048780488,0.6952141057934509,1,
Brian Blades,0.5653333333333334,0.8290155440414507,0.908355795148248,0.9043927648578812,0.8525469168900804,0.8814016172506739,0.9166666666666666,0.9757869249394672,0.9497607655502392,0,0.8661800486618005
Brian Brennan,0.3576826196473551,0.6906666666666667,0.8985148514851485,0.9550748752079868,0.936,0.8601036269430051,0.7870619946091644,0.7674418604651163,0.7479892761394102,1,
Brian Finneran,0.1161731207289293,0.3177570093457944,0.7072599531615925,0.869757174392936,0.9028925619834712,0.845213849287169,0.8343558282208589,0.6552462526766595,0.487551867219917,0,0.1608247422680412
Brian Kinchen,0.0293333333333333,0.2020725388601036,0.2479784366576819,0.2093023255813953,0.0134048257372654,0.3099730458221024,0.4921875,0.6464891041162227,0.7105263157894737,0,0.6788321167883211
Brian Kozlowski,0.03125,0.0799031476997578,0.2799043062200957,0.4695863746958637,0.6322115384615384,0.621867881548975,0.6425233644859814,0.7236533957845434,0.7152317880794702,0,0.6900826446280992
Brian Mitchell 2,0.0161725067385444,0.0232558139534883,0.099195710455764,0.2991913746630728,0.4869791666666667,0.6198547215496368,0.6578947368421053,0.754257907542579,0.7740384615384616,0,0.7425968109339408
Brian Westbrook,0.130242825607064,0.5619834710743802,0.8105906313645621,0.916155419222904,0.9293361884368307,0.9439834024896264,0.9195876288659792,0.8698347107438017,0.7531120331950207,1,
Bruce Hardy,0.1097922848664688,0.4741144414168937,0.6177285318559557,0.670299727520436,0.5530085959885387,0.5609756097560976,0.6322418136020151,0.7093333333333334,0.75,0,0.8402662229617305
Bruce Miller,0.1686507936507936,0.3881453154875717,0.5909090909090909,0.6374501992031872,0.6784313725490196,0.5219885277246654,0.2213592233009708,0.0093632958801498,0.005524861878453,0,0.1045045045045045
Bryant Johnson,0.3863636363636363,0.6374745417515275,0.8220858895705522,0.8843683083511777,0.8983402489626556,0.91340206185567,0.871900826446281,0.8091286307053942,0.7440476190476191,1,
Bubba Franks,0.2313084112149532,0.6370023419203747,0.8344370860927153,0.8512396694214877,0.8289205702647657,0.7852760736196319,0.6809421841541756,0.6161825726141079,0.490721649484536,1,
Buford Mcgee,0.2317380352644836,0.224,0.4826732673267326,0.5074875207986689,0.472,0.4740932642487047,0.6226415094339622,0.6175710594315246,0.6032171581769437,1,
Butch Johnson,0.271875,0.4622641509433962,0.5816023738872403,0.5722070844686649,0.628808864265928,0.8147138964577657,0.8796561604584527,0.926829268292683,0.9193954659949622,0,0.904
Byron Chamberlain,0.234866828087167,0.485645933014354,0.5401459854014599,0.5865384615384616,0.7198177676537585,0.7593457943925234,0.8313817330210773,0.8145695364238411,0.75,1,
C J Uzomah,0.1647058823529411,0.5047801147227533,0.6466019417475728,0.7565543071161048,0.7421731123388582,0.7603603603603604,0.8003597122302158,0.7984934086629002,0.8019607843137255,1,
Calvin Johnson,0.491701244813278,0.865979381443299,0.9524793388429752,0.9875518672199172,0.992063492063492,1.0,1.0,0.99800796812749,0.996078431372549,1,
