Player,Year1,Year2,Year3,Year4,Retire,NextPercentile
Albert Wilson,0.531902206320811,0.5216617210682493,0.5483870967741935,0.3820093457943925,0,0.4088757396449704
Aldon Smith,0.826271186440678,0.9722222222222222,0.988615937687238,0.9415623136553368,0,0.7839762611275964
Aldrick Robinson,0.1068840579710145,0.0575194727381665,0.0524746571258199,0.0409495548961424,0,0.039882697947214
Alec Ogletree,0.8993409227082085,0.9880739415623137,0.9887240356083086,0.9671554252199414,0,0.9579439252336448
Alejandro Villanueva,0.1329376854599406,0.1888563049853372,0.2184579439252336,0.2189349112426035,1,
Alex Armah,0.2990654205607476,0.3881656804733728,0.3953488372093023,0.3158508158508158,0,0.342725704427832
Alex Bannister,0.5040214477211796,0.5717932354818124,0.6025957972805933,0.5487804878048781,0,0.4715840386940749
Alex Barron,0.2357920193470374,0.2860591430295715,0.3537820131030375,0.2596153846153846,0,0.3349282296650718
Alex Boone,0.2756141402037148,0.2617769827072153,0.2652818991097923,0.039882697947214,0,0.2564252336448598
Alex Brown,0.6751754945756222,0.8436341161928307,0.9445121951219512,0.9582829504232164,0,0.9643934821967411
Alex Carrington,0.4646643109540636,0.5556900726392252,0.6672705314009661,0.670461354104254,0,0.6189624329159212
Alex Erickson,0.2476635514018691,0.378698224852071,0.3792486583184257,0.3065268065268065,0,0.1385853939045428
Alex Gordon,0.6056547619047619,0.6716981132075471,0.8330206378986866,0.5872420262664165,0,0.5065666041275797
Alex Lewis,0.6792682926829269,0.6831922611850061,0.7223898611949306,0.620011911852293,0,0.6712740384615384
Alex Mack,0.0873205741626794,0.2979976442873969,0.3093220338983051,0.3641304347826087,0,0.2648292390653086
Alex Molden,0.2822719449225473,0.6348408710217756,0.8159609120521173,0.7769110764430577,0,0.8301470588235295
Alex Okafor,0.10964649490713,0.7471675611210495,0.7857566765578635,0.864516129032258,0,0.8697429906542056
Alex Smith,0.2357920193470374,0.3156306578153289,0.3633071816535908,0.2840976771888028,0,0.3509615384615384
Alfonso Boone,0.5737265415549598,0.6611359285258456,0.707663782447466,0.7,0,0.6704957678355502
Alfonso Smith,0.2136803874092009,0.3466183574879227,0.4649490713001797,0.4263565891472868,1,
Alfred Blue,0.4836016696481813,0.5899109792284867,0.6035190615835777,0.6261682242990654,0,0.5650887573964497
Alfred Fincher,0.3821039903264812,0.4659022329511165,0.4734961286480048,0.4771634615384615,1,
Alfred Jackson,0.1632270168855534,0.1486988847583643,0.1480075901328273,0.0699432892249527,0,0.3430034129692833
Alfred Malone,0.4854897218863361,0.5196137598068798,0.5223347230494342,0.4332932692307692,1,
Alfred Morris,0.2192028985507246,0.2564409826243259,0.3398926654740608,0.2789317507418398,0,0.2797653958944281
Alfred Oglesby,0.5159474671669794,0.5834896810506567,0.5427509293680297,0.064516129032258,0,0.2041587901701323
Alfred Williams,0.3076923076923077,0.7342007434944238,0.7722960151802657,0.833648393194707,0,0.7440273037542662
Alge Crumpler,0.1233243967828418,0.1991065730695596,0.3288009888751545,0.2896341463414634,0,0.402055622732769
Ali Marpet,0.2124629080118694,0.3196480938416422,0.3323598130841121,0.3094674556213018,0,0.2850327966607036
Allan Ellis,0.1658291457286432,0.5049019607843137,0.6502242152466368,0.8838174273858921,0,0.9133858267716536
Allen Aldridge,0.447098976109215,0.4199655765920826,0.4087102177554438,0.4071661237785016,0,0.6302652106084243
Allen Bailey,0.5326876513317191,0.5917874396135265,0.6662672258837627,0.7346451997614788,0,0.8415430267062315
Allen Hurns,0.1329376854599406,0.1401759530791788,0.2348130841121495,0.1893491124260355,0,0.2903995229576624
Allen Robinson,0.1806797853309481,0.2362017804154302,0.2797653958944281,0.1536214953271028,0,0.144378698224852
Allen Rossum,0.1726384364820846,0.1747269890795632,0.5933823529411765,0.4939678284182305,0,0.5328653477983408
Alonzo Mitz,0.0349264705882352,0.0267857142857142,0.2660377358490566,0.273921200750469,0,0.3395872420262664
Alonzo Spellman,0.1431226765799256,0.3130929791271347,0.6294896030245747,0.8600682593856656,0,0.9173838209982788
Alphonso Carreker,0.1409266409266409,0.3678373382624769,0.5569852941176471,0.6964285714285714,0,0.4622641509433962
Alphonso Smith,0.4569377990430622,0.8150765606595995,0.914043583535109,0.9045893719806763,1,
Alshermond Singleton,0.1918876755070203,0.6205882352941177,0.6621983914209115,0.7294192724952138,0,0.8201483312731768
Alshon Jeffery,0.2756141402037148,0.3100775193798449,0.3091988130563798,0.2134897360703812,0,0.2079439252336448
Alterraun Verner,0.7879858657243817,0.8305084745762712,0.9154589371980676,0.9340922708208508,0,0.9725700655933214
Alton Montgomery,0.2326454033771107,0.2382739212007504,0.2211895910780669,0.064516129032258,0,0.0699432892249527
Alvin McKinley,0.4110294117647058,0.485254691689008,0.5309508615188258,0.5964153275648949,0,0.6902439024390243
Alvin Pearman,0.492744860943168,0.5063367531683766,0.5253126861226921,0.3840144230769231,0,0.4144736842105263
Alvin Walton,0.1672794117647058,0.7083333333333334,0.8641509433962264,0.9343339587242028,0,0.9305816135084428
Alvin Wright,0.2782738095238095,0.3113207547169811,0.4709193245778612,0.4727954971857411,1,
Alvis Whitted,0.3102941176470588,0.2607238605898123,0.3497128270580728,0.4449938195302843,0,0.4292682926829268
Alvoid Mays,0.0956848030018761,0.3736059479553903,0.3548387096774194,0.3119092627599243,0,0.4146757679180887
Amani Toomer,0.175,0.225201072386059,0.2750478621569879,0.3708281829419035,0,0.3384146341463415
Amari Cooper,0.1916913946587537,0.2304985337243401,0.3411214953271028,0.3224852071005917,0,0.3208109719737627
Amobi Okoye,0.6831447290053604,0.7590144230769231,0.8151913875598086,0.8074204946996466,0,0.8008474576271186
Amon Gordon,0.3786585365853658,0.3923821039903264,0.3964996982498491,0.4627754615842763,0,0.5733173076923077
Amos Zereoue,0.5426470588235294,0.6105898123324397,0.6139119336311423,0.5611866501854141,1,
Andra Davis,0.559029993618379,0.7824474660074165,0.8804878048780488,0.9534461910519952,0,0.9432709716354858
Andre Branch,0.5954106280193237,0.7411623726782505,0.8372093023255814,0.8955489614243324,0,0.9395894428152493
Andre Caldwell,0.0757211538461538,0.2464114832535885,0.3669022379269729,0.3861985472154963,0,0.3870772946859903
Andre Collins,0.1969981238273921,0.6116322701688556,0.8345724907063197,0.8785578747628083,0,0.9603024574669188
Andre Dyson,0.7144772117962467,0.8698149329929802,0.9561186650185414,0.9682926829268292,0,0.9637243047158404
Andre Ellington,0.1677651288196525,0.2206320810971973,0.2189910979228486,0.1196480938416422,0,0.1226635514018691
Andre Fluellen,0.4128605769230769,0.5944976076555024,0.6319199057714959,0.6579903147699758,0,0.6189613526570048
Andre Frazier,0.5532043530834341,0.5817742908871455,0.6116736152471709,0.578125,0,0.5855263157894737
Andre Gurode,0.1914486279514997,0.1915945611866502,0.1701219512195122,0.0326481257557436,0,0.0325890162945081
Andre Hal,0.4746571258199165,0.7661721068249259,0.8692082111436951,0.9497663551401868,0,0.9153846153846154
Andre Holmes,0.2192028985507246,0.5020970641102457,0.4973166368515205,0.5952522255192878,0,0.6152492668621701
Andre Johnson,0.3182941903584672,0.3841463414634146,0.4081015719467956,0.4073627036813518,0,0.3907087552114354
Andre Lott,0.4984045947670708,0.5321384425216317,0.5597560975609757,0.4673518742442563,0,0.4339167169583585
Andre Roberts,0.3268765133171913,0.3556763285024155,0.3642899940083882,0.2409063804412641,0,0.2255192878338278
Andre Smith,0.1472320376914016,0.2433414043583535,0.4975845410628019,0.5050928699820252,0,0.4865831842576029
Andre Tippett,0.5188118811881188,0.803088803088803,0.9796672828096118,0.9871323529411764,0,0.9836309523809524
Andre Townsend,0.1756756756756756,0.3382624768946395,0.4724264705882353,0.5372023809523809,0,0.4886792452830188
Andre Waters,0.6507352941176471,0.8988095238095238,0.9641509433962264,0.9118198874296436,0,0.8367729831144465
Andre Williams,0.1282051282051282,0.2456973293768546,0.2545454545454545,0.2978971962616822,1,
Andre Woolfolk,0.5593325092707045,0.675,0.7744860943168077,0.7507543753771877,1,
