Player,Year1,Year2,Year3,Year4,Year5,Year6,Retire,NextPercentile
Alterraun Verner,0.7879858657243817,0.8305084745762712,0.9154589371980676,0.9340922708208508,0.9725700655933214,0.9673590504451038,0,0.8956011730205279
Alton Montgomery,0.2326454033771107,0.2382739212007504,0.2211895910780669,0.064516129032258,0.0699432892249527,0.4795221843003412,1,
Alvin McKinley,0.4110294117647058,0.485254691689008,0.5309508615188258,0.5964153275648949,0.6902439024390243,0.7974607013301088,0,0.8298129149064575
Alvis Whitted,0.3102941176470588,0.2607238605898123,0.3497128270580728,0.4449938195302843,0.4292682926829268,0.4183796856106409,0,0.3645141822570911
Amani Toomer,0.175,0.225201072386059,0.2750478621569879,0.3708281829419035,0.3384146341463415,0.3542926239419589,0,0.2486421243210621
Amari Cooper,0.1916913946587537,0.2304985337243401,0.3411214953271028,0.3224852071005917,0.3208109719737627,0.3141025641025641,0,0.2685451408855664
Amobi Okoye,0.6831447290053604,0.7590144230769231,0.8151913875598086,0.8074204946996466,0.8008474576271186,0.7892512077294686,1,
Amon Gordon,0.3786585365853658,0.3923821039903264,0.3964996982498491,0.4627754615842763,0.5733173076923077,0.5735645933014354,0,0.5376914016489989
Andra Davis,0.559029993618379,0.7824474660074165,0.8804878048780488,0.9534461910519952,0.9432709716354858,0.9178082191780822,0,0.8569711538461539
Andre Branch,0.5954106280193237,0.7411623726782505,0.8372093023255814,0.8955489614243324,0.9395894428152493,0.9170560747663552,0,0.8710059171597633
Andre Caldwell,0.0757211538461538,0.2464114832535885,0.3669022379269729,0.3861985472154963,0.3870772946859903,0.4301977231875374,0,0.430530709600477
Andre Collins,0.1969981238273921,0.6116322701688556,0.8345724907063197,0.8785578747628083,0.9603024574669188,0.962457337883959,0,0.8691910499139415
Andre Dyson,0.7144772117962467,0.8698149329929802,0.9561186650185414,0.9682926829268292,0.9637243047158404,0.951719975859988,0,0.8999404407385349
Andre Fluellen,0.4128605769230769,0.5944976076555024,0.6319199057714959,0.6579903147699758,0.6189613526570048,0.6027561414020371,0,0.5974955277280859
Andre Gurode,0.1914486279514997,0.1915945611866502,0.1701219512195122,0.0326481257557436,0.0325890162945081,0.1620011911852293,0,0.2439903846153846
Andre Holmes,0.2192028985507246,0.5020970641102457,0.4973166368515205,0.5952522255192878,0.6152492668621701,0.6115654205607477,0,0.5378698224852071
Andre Johnson,0.3182941903584672,0.3841463414634146,0.4081015719467956,0.4073627036813518,0.3907087552114354,0.4044471153846153,0,0.3947368421052631
Andre Roberts,0.3268765133171913,0.3556763285024155,0.3642899940083882,0.2409063804412641,0.2255192878338278,0.2234604105571847,0,0.0420560747663551
