Player,Year1,Year2,Year3,Year4,Year5,Year6,Year7,Year8,Year9,Year10,Retire,NextPercentile
Barry Wilburn,0.1238447319778188,0.4338235294117647,0.9300595238095238,0.9264150943396228,0.8874296435272045,0.5065666041275797,0.2401500938086304,0.0594795539033457,0.064516129032258,0.0699432892249527,0,0.1604095563139931
Bart Scott,0.5437141033822591,0.61557478368356,0.6426829268292683,0.813180169286578,0.9372359686179844,0.9565217391304348,0.9411057692307692,0.8839712918660287,0.8951707891637221,0.887409200968523,0,0.8979468599033816
Ben Leber,0.7364390555201021,0.8133498145859085,0.8664634146341463,0.7920193470374849,0.8750754375377188,0.935080405002978,0.9729567307692308,0.9425837320574164,0.9287396937573617,0.8268765133171913,1,
Ben Roethlisberger,0.0975609756097561,0.1590084643288996,0.208207604103802,0.1852293031566408,0.2409855769230769,0.2200956937799043,0.1654888103651354,0.1658595641646489,0.1817632850241546,0.1839424805272618,0,0.0429338103756708
Benjamin Watson,0.1390568319226118,0.2884731442365721,0.2733770101250744,0.2770432692307692,0.2033492822966507,0.306831566548881,0.2905569007263922,0.2626811594202898,0.1839424805272618,0.1806797853309481,0,0.2955489614243323
Bennie Blades,0.5584905660377358,0.5647279549718575,0.7560975609756098,0.7035647279549718,0.9182156133828996,0.8102466793168881,0.6994328922495274,0.6262798634812287,0.8502581755593803,0.8509212730318257,1,
Benny Barnes,0.0804020100502512,0.088235294117647,0.1031390134529148,0.2489626556016597,0.2401574803149606,0.6764705882352942,0.662020905923345,0.768976897689769,0.7515337423312883,0.8142201834862385,1,
Benny Sapp1,0.6036585365853658,0.7085852478839177,0.7169583584791792,0.7421083978558666,0.7217548076923077,0.7834928229665071,0.7991755005889282,0.7481840193704601,0.6702898550724637,0.5350509286998203,1,
Bertrand Berry,0.4120521172638436,0.5195007800312013,0.75,0.6776139410187667,0.7351627313337588,0.9048207663782448,0.9829268292682928,0.9836759371221282,0.9686179843089922,0.8820726622989875,0,0.8870192307692307
Bill Bates,0.5247524752475248,0.7007722007722008,0.8243992606284658,0.7904411764705882,0.8348214285714286,0.8018867924528302,0.7073170731707317,0.5290806754221389,0.2945590994371482,0.0985130111524163,0,0.2808349146110057
Bill Bergey,0.6565656565656566,0.6058394160583942,0.5172413793103449,0.5477386934673367,0.7696078431372549,0.8654708520179372,0.8921161825726142,0.7244094488188977,0.8014705882352942,0.6445993031358885,0,0.6600660066006601
Bill Pickel,0.2534653465346534,0.5984555984555985,0.8280961182994455,0.9080882352941176,0.8764880952380952,0.8716981132075472,0.8217636022514071,0.7692307692307693,0.4915572232645403,0.4479553903345725,1,
Bill Romanowski,0.3621013133208255,0.4352720450281426,0.6923076923076923,0.5762081784386617,0.7343453510436433,0.7372400756143668,0.7798634812286689,0.8175559380378657,0.8006700167504187,0.9153094462540716,0,0.906396255850234
Billy Cundiff,0.0727504786215698,0.0797280593325092,0.1926829268292683,0.1644498186215235,0.1617380808690404,0.0327575938058368,0.0372596153846153,0.0370813397129186,0.1012956419316843,0.059322033898305,0,0.0513285024154589
Billy Thompson,0.6262626262626263,0.8832116788321168,0.8333333333333334,0.8994974874371859,0.9362745098039216,0.9730941704035876,0.8796680497925311,0.8110236220472441,0.7463235294117647,0.8815331010452961,0,0.8085808580858086
Blaine Bishop,0.4022770398481973,0.6710775047258979,0.9419795221843004,0.9483648881239244,0.9463986599664992,0.8550488599348535,0.8237129485179407,0.8911764705882353,0.8445040214477212,0.8174856413529037,1,
Blaise Winter,0.2335907335907336,0.2255083179297597,0.2352941176470588,0.2529761904761904,0.4037735849056604,0.549718574108818,0.5309568480300187,0.2908067542213883,0.2472118959107806,0.4345351043643263,1,
Bob Brudzinski,0.2992125984251969,0.5808823529411765,0.6585365853658537,0.5544554455445545,0.7392638036809815,0.8967889908256881,0.9425742574257424,0.88996138996139,0.8502772643253235,0.8455882352941176,0,0.7961309523809523
Bob Golic,0.3394495412844037,0.6851485148514852,0.696911196911197,0.7597042513863216,0.5330882352941176,0.6309523809523809,0.2169811320754717,0.4765478424015009,0.5272045028142589,0.6754221388367729,1,
Bob Howard,0.4545454545454545,0.7664233576642335,0.6494252873563219,0.7889447236180904,0.7549019607843137,0.9013452914798208,0.8879668049792531,0.8740157480314961,0.7536764705882353,0.759581881533101,1,
Bob Nelson,0.1023102310231023,0.0766871165644171,0.091743119266055,0.0851485148514851,0.0965250965250965,0.0517560073937153,0.1966911764705882,0.3020833333333333,0.1698113207547169,0.1651031894934334,0,0.2589118198874296
Bobby Bell,0.9090909090909092,0.8759124087591241,0.9482758620689656,0.8592964824120602,0.8431372549019608,0.57847533632287,0.4273858921161825,0.0275590551181102,0.0183823529411764,0.0278745644599303,0,0.0462046204620462
Bobby Butler,0.5245398773006135,0.7798165137614679,0.8732673267326733,0.7451737451737451,0.7079482439926063,0.6709558823529411,0.7976190476190477,0.7056603773584905,0.5440900562851783,0.4409005628517823,1,
Bobby Hamilton,0.3752151462994836,0.4438860971524288,0.4511400651465798,0.1372854914196568,0.6654411764705882,0.8130026809651475,0.8768347160178686,0.8244746600741656,0.7774390243902439,0.7871825876662636,0,0.7972238986119493
Bobby Taylor,0.3447098976109215,0.5335628227194492,0.6649916247906198,0.5309446254071661,0.62402496099844,0.8625,0.935656836461126,0.9534141671984684,0.9011124845488258,0.8298780487804878,1,
Bracy Walker,0.5802047781569966,0.7607573149741824,0.7303182579564489,0.3973941368078176,0.0717628705148206,0.45,0.5127345844504021,0.6911295469049138,0.7484548825710754,0.8335365853658536,0,0.8162031438935913
Brad Hoover,0.4830882352941176,0.492627345844504,0.5105296745373324,0.4660074165636588,0.4932926829268292,0.4866989117291415,0.4942667471333735,0.444907683144729,0.4417067307692308,0.3971291866028708,1,
Brad Maynard,0.2588235294117647,0.2707774798927614,0.2310146777281429,0.2558714462299135,0.2871951219512195,0.3639661426844015,0.3832226916113458,0.2995830851697439,0.2475961538461538,0.1537081339712918,0,0.2114252061248527
Brad Meester,0.175,0.0509383378016085,0.0197830248883216,0.1915945611866502,0.2298780487804878,0.2370012091898428,0.156306578153289,0.0589636688505062,0.1844951923076923,0.1590909090909091,0,0.2756183745583039
Brad St. Louis,0.3419117647058823,0.331769436997319,0.4339502233567326,0.4561186650185414,0.4554878048780488,0.4171704957678355,0.3397706698853349,0.1113758189398451,0.3972355769230769,0.409688995215311,1,
Brad Van Pelt,0.2941176470588235,0.5381165919282511,0.6597510373443983,0.5866141732283464,0.6397058823529411,0.4912891986062718,0.5775577557755776,0.4601226993865031,0.7706422018348624,0.7920792079207921,0,0.6891891891891891
Bradie James,0.5679851668726823,0.6359756097560976,0.7478839177750907,0.8865419432709717,0.949374627754616,0.986778846153846,0.9820574162679426,0.9852767962308598,0.9328087167070218,0.9003623188405797,1,
Bradley Roby,0.7543231961836613,0.8587537091988131,0.9595307917888564,0.9468457943925234,0.9390532544378698,0.9129397734048896,0.8968531468531469,0.8527889591719379,0.7547732696897375,0.7211055276381909,1,
Brady Smith,0.1411359724612736,0.3467336683417085,0.3550488599348534,0.5382215288611545,0.8102941176470588,0.8766756032171582,0.8864071474154436,0.8448702101359703,0.922560975609756,0.8827085852478839,1,
Brandon Bolden,0.3134057971014493,0.3672857998801677,0.5611210494931426,0.6207715133531158,0.6791788856304986,0.6267523364485982,0.5816568047337278,0.571258199165176,0.5565268065268065,0.5606670500287522,0,0.4331742243436754
Brandon Carr,0.7235576923076923,0.8355263157894737,0.8833922261484098,0.8656174334140436,0.894927536231884,0.944877171959257,0.9254621347644604,0.8700296735905044,0.7906158357771261,0.8767523364485982,0,0.8834319526627219
Brandon King,0.1012956419316843,0.259685230024213,0.2940821256038647,0.2540443379269023,0.0429338103756708,0.5507418397626113,0.5900293255131965,0.5934579439252337,0.5266272189349113,0.4859868813357185,0,0.4370629370629371
