Player,Year1,Year2,Year3,Year4,Year5,Year6,Year7,Year8,Year9,Retire,NextPercentile
Craig Heyward,0.2532467532467532,0.4155844155844156,0.7302631578947368,0.678082191780822,0.7794117647058824,0.6716417910447762,0.7214285714285714,0.8496732026143791,0.8943661971830986,0,0.7533333333333333
Cullen Bryant,0.0503597122302158,0.45,0.5294117647058824,0.6369426751592356,0.6158536585365854,0.6976744186046512,0.8837209302325582,0.891566265060241,0.6727272727272727,0,0.3734177215189873
Curtis Martin,0.5098039215686274,0.908450704225352,0.98,0.9407894736842104,0.9565217391304348,0.9806451612903224,0.9931506849315068,0.9668874172185432,0.9620253164556962,0,0.934131736526946
Daimon Shelton,0.0066666666666666,0.125,0.2670807453416149,0.3935483870967742,0.1301369863013698,0.0596026490066225,0.0063291139240506,0.0,0.0519480519480519,1,
Damien Williams,0.239766081871345,0.3631284916201117,0.6720430107526881,0.7049180327868853,0.7925531914893617,0.8144329896907216,0.6604651162790698,0.6055045871559633,0.2401960784313725,0,0.3446327683615819
Dan Kreider,0.4064516129032258,0.589041095890411,0.7019867549668874,0.569620253164557,0.562874251497006,0.551948051948052,0.5359477124183006,0.4172185430463576,0.1548387096774193,1,
Danny Woodhead,0.1528662420382165,0.512987012987013,0.7142857142857143,0.8805031446540881,0.8928571428571429,0.8538011695906432,0.8491620111731844,0.8064516129032258,0.8087431693989071,1,
Darren Mcfadden,0.2,0.3503184713375796,0.8506493506493507,0.8979591836734694,0.9433962264150944,0.8511904761904762,0.7777777777777778,0.8044692737430168,0.8172043010752689,0,0.5956284153005464
Darren Sproles,0.1883116883116883,0.130718954248366,0.3377483443708609,0.567741935483871,0.8407643312101911,0.922077922077922,0.9523809523809524,0.9748427672955976,0.9821428571428572,0,0.953216374269006
Darrin Nelson,0.1333333333333333,0.5379746835443038,0.7345679012345679,0.832258064516129,0.8830409356725146,0.9672727272727272,0.9090909090909092,0.8376623376623377,0.5592105263157895,0,0.7191780821917808
Daryl Johnston,0.0844155844155844,0.3026315789473684,0.5753424657534246,0.6397058823529411,0.7238805970149254,0.8142857142857143,0.8431372549019608,0.7183098591549296,0.6266666666666667,0,0.4802631578947368
Dave Meggett,0.2987012987012987,0.7236842105263158,0.910958904109589,0.8529411764705882,0.8059701492537313,0.7857142857142857,0.803921568627451,0.6971830985915493,0.62,0,0.5592105263157895
Deangelo Williams,0.3137254901960784,0.7218543046357616,0.9741935483870968,0.9936305732484076,0.961038961038961,0.8639455782312925,0.8930817610062893,0.9404761904761904,0.8771929824561403,0,0.8603351955307262
Dennis Gentry,0.1272727272727272,0.2025316455696202,0.4012345679012346,0.5483870967741935,0.8070175438596491,0.9272727272727272,0.961038961038961,0.948051948051948,0.9605263157894736,0,0.7808219178082192
Derek Loville,0.0131578947368421,0.0547945205479452,0.0955882352941176,0.0373134328358208,0.1428571428571428,0.6274509803921569,0.823943661971831,0.8266666666666667,0.631578947368421,0,0.5900621118012422
Derrick Fenner 2,0.0714285714285714,0.3881578947368421,0.6232876712328768,0.75,0.8432835820895522,0.8214285714285714,0.7450980392156863,0.6830985915492958,0.6133333333333333,1,
Dexter Bussey,0.0575539568345323,0.5428571428571428,0.7973856209150327,0.9044585987261148,0.8780487804878049,0.8430232558139535,0.877906976744186,0.7108433734939759,0.5818181818181818,0,0.4556962025316455
Dion Lewis,0.1632653061224489,0.4088050314465409,0.4047619047619047,0.2631578947368421,0.3519553072625698,0.489247311827957,0.9016393442622952,0.8351063829787234,0.8298969072164949,0,0.5720930232558139
Dominic Rhodes,0.3356164383561644,0.4105960264900662,0.5759493670886076,0.467065868263473,0.6428571428571429,0.7516339869281046,0.5827814569536424,0.7161290322580646,0.5159235668789809,0,0.4935064935064935
Don Mccauley,0.1797752808988764,0.5925925925925926,0.7768595041322314,0.7841726618705036,0.6928571428571428,0.803921568627451,0.9235668789808916,0.8841463414634146,0.8662790697674418,0,0.8023255813953488
Dorsey Levens,0.0785714285714285,0.5359477124183006,0.8309859154929577,0.96,0.9342105263157896,0.9440993788819876,0.8129032258064516,0.7876712328767124,0.7086092715231788,0,0.7215189873417721
Duce Staley,0.1666666666666666,0.6973684210526315,0.8944099378881988,0.896774193548387,0.8698630136986302,0.913907284768212,0.9177215189873418,0.8682634730538922,0.6623376623376623,1,
Earnest Byner,0.3950617283950617,0.7290322580645161,0.9064327485380116,0.9490909090909092,0.8571428571428571,0.935064935064935,0.875,0.9246575342465754,0.8602941176470589,0,0.8731343283582089
Eddie George,0.528169014084507,0.8133333333333334,0.9144736842105264,0.9006211180124224,0.9161290322580644,0.863013698630137,0.8410596026490066,0.7911392405063291,0.8502994011976048,1,
Edgerrin James,0.6832298136645962,0.935483870967742,0.9863013698630136,0.9271523178807948,0.8607594936708861,0.8982035928143712,0.935064935064935,0.934640522875817,0.9072847682119204,0,0.7032258064516129
Emmitt Smith,0.4013157894736842,0.9178082191780822,0.9852941176470588,1.0,1.0,0.9934640522875816,0.9929577464788732,0.9933333333333332,0.9671052631578948,0,0.968944099378882
Eric Bieniemy,0.1301369863013698,0.3235294117647059,0.4328358208955223,0.5142857142857142,0.6666666666666666,0.7887323943661971,0.7866666666666666,0.7105263157894737,0.6645962732919255,1,
Eric Dickerson,0.6012658227848101,0.9691358024691358,0.9935483870967742,0.95906432748538,0.9745454545454544,0.9935064935064936,0.974025974025974,0.9144736842105264,0.547945205479452,0,0.625
Franco Harris,0.5462962962962963,0.7355371900826446,0.9640287769784172,0.9571428571428572,0.9738562091503268,0.9490445859872612,0.945121951219512,0.9651162790697676,0.9476744186046512,0,0.927710843373494
Frank Gore,0.3311688311688311,0.8823529411764706,0.9735099337748344,0.9612903225806452,0.929936305732484,0.9285714285714286,0.9319727891156464,0.9182389937106918,0.9166666666666666,0,0.9239766081871345
Frank Pollard,0.0406976744186046,0.2409638554216867,0.406060606060606,0.5569620253164557,0.5987654320987654,0.7548387096774194,0.695906432748538,0.8472727272727273,0.4935064935064935,1,
Fred Jackson,0.23841059602649,0.6064516129032258,0.8471337579617835,0.8571428571428571,0.9047619047619048,0.8364779874213837,0.8809523809523809,0.847953216374269,0.8659217877094972,1,
Fred Mcafee,0.2260273972602739,0.4044117647058823,0.4925373134328358,0.4428571428571428,0.4705882352941176,0.3873239436619718,0.38,0.4144736842105263,0.3726708074534161,0,0.6838709677419355
Fred Mccrary,0.0915032679738562,0.0774647887323943,0.16,0.0263157894736842,0.0372670807453416,0.0774193548387096,0.2465753424657534,0.4503311258278146,0.3987341772151899,1,
Fred Taylor,0.6118421052631579,0.9192546583850932,0.9935483870967742,0.9178082191780822,0.933774834437086,0.9050632911392406,0.9640718562874252,0.9285714285714286,0.9411764705882352,0,0.9470198675496688
Freeman Mcneil,0.216867469879518,0.8,0.8417721518987342,0.9629629629629628,0.9290322580645162,0.9473684210526316,0.9454545454545454,0.8701298701298701,0.8506493506493507,0,0.8355263157894737
Garrison Hearst,0.1343283582089552,0.4,0.4836601307189542,0.6690140845070423,0.8333333333333334,0.9605263157894736,0.9130434782608696,0.632258064516129,0.5684931506849316,0,0.8609271523178808
Gary Anderson 3,0.2645161290322581,0.7602339181286549,0.9563636363636364,0.9415584415584416,0.6948051948051948,0.743421052631579,0.6506849315068494,0.7573529411764706,0.5671641791044776,1,
Gary Brown 2,0.273972602739726,0.4779411764705882,0.7835820895522388,0.7285714285714285,0.7516339869281046,0.2746478873239437,0.42,0.6381578947368421,0.7329192546583851,1,
Gerald Riggs,0.3454545454545454,0.6708860759493671,0.9197530864197532,0.9741935483870968,0.9649122807017544,0.9781818181818182,0.8441558441558441,0.8636363636363636,0.8421052631578947,0,0.8698630136986302
Giovani Bernard,0.4464285714285714,0.8128654970760234,0.9441340782122905,0.946236559139785,0.918032786885246,0.8297872340425532,0.7938144329896907,0.7302325581395349,0.7522935779816514,0,0.5392156862745098
Greg Jones,0.0898203592814371,0.422077922077922,0.4052287581699346,0.543046357615894,0.4709677419354838,0.6305732484076433,0.4545454545454545,0.4081632653061224,0.5157232704402516,0,0.5178571428571429
Greg Pruitt 2,0.4297520661157025,0.7122302158273381,0.95,0.9673202614379084,0.9681528662420382,0.975609756097561,0.9418604651162792,0.872093023255814,0.7831325301204819,0,0.8545454545454545
Harold Green,0.1381578947368421,0.5342465753424658,0.9264705882352942,0.9029850746268656,0.8785714285714286,0.6601307189542484,0.7464788732394366,0.7066666666666667,0.6052631578947368,1,
Heath Evans,0.1506849315068493,0.2847682119205298,0.4746835443037974,0.4131736526946107,0.5064935064935064,0.5294117647058824,0.6225165562913907,0.6,0.5732484076433121,0,0.422077922077922
Herschel Walker,0.5964912280701754,0.96,1.0,0.987012987012987,0.9736842105263158,0.9794520547945206,0.9632352941176472,0.9776119402985076,0.9571428571428572,0,0.9673202614379084
Horace King,0.2357142857142857,0.4444444444444444,0.6878980891719745,0.823170731707317,0.8313953488372093,0.7616279069767442,0.5421686746987951,0.6060606060606061,0.5506329113924051,1,
Jamaal Charles,0.2451612903225806,0.7452229299363057,0.987012987012987,0.9387755102040816,0.949685534591195,0.9523809523809524,0.9883040935672516,0.9497206703910616,0.8279569892473119,0,0.5245901639344263
Jamal Lewis,0.4774193548387097,0.4315068493150685,0.7152317880794702,0.8544303797468354,0.9281437125748504,0.922077922077922,0.8300653594771242,0.8675496688741722,0.8838709677419355,0,0.8789808917197452
James Brooks,0.3313253012048193,0.793939393939394,0.8354430379746836,0.8271604938271605,0.8838709677419355,0.9766081871345028,0.9963636363636365,0.987012987012987,0.9675324675324676,0,1.0
James Jones 4,0.2848101265822785,0.6790123456790124,0.8903225806451613,0.912280701754386,0.9163636363636364,0.7337662337662337,0.3896103896103896,0.3289473684210526,0.363013698630137,1,
James Wilder,0.2469879518072289,0.7212121212121212,0.8924050632911392,0.9814814814814816,0.9548387096774194,0.9005847953216374,0.8981818181818182,0.7402597402597403,0.7987012987012987,0,0.6447368421052632
Jerald Sowell,0.1866666666666666,0.3486842105263157,0.4906832298136646,0.4,0.2602739726027397,0.2913907284768212,0.3924050632911392,0.7125748502994012,0.8571428571428571,1,
Jerick Mckinnon,0.3567251461988304,0.6927374301675978,0.8870967741935484,0.8688524590163934,0.6542553191489362,0.3711340206185567,0.4093023255813953,0.5458715596330275,0.8480392156862745,0,0.7966101694915254
Jerome Bettis,0.5298507462686567,0.8071428571428572,0.9019607843137256,0.7816901408450704,0.8533333333333334,0.9078947368421052,0.906832298136646,0.8774193548387097,0.9041095890410958,0,0.8940397350993378
Jerome Felton,0.032258064516129,0.2929936305732484,0.3831168831168831,0.6326530612244898,0.4842767295597484,0.3809523809523809,0.2573099415204678,0.5363128491620112,0.7365591397849462,1,
Jim Otis,0.5121951219512195,0.5730337078651685,0.6018518518518519,0.5950413223140496,0.6115107913669064,0.7642857142857142,0.8366013071895425,0.7388535031847133,0.6829268292682927,1,
Joe Cribbs,0.4767441860465116,0.7951807228915663,0.9696969696969696,0.981012658227848,0.8580246913580247,0.6451612903225806,0.4152046783625731,0.7454545454545455,0.5844155844155844,1,
Joe Morris,0.103030303030303,0.2215189873417721,0.5740740740740741,0.8516129032258064,0.9707602339181286,1.0,0.935064935064935,0.551948051948052,0.1907894736842105,0,0.1164383561643835
Joe Washington,0.2993630573248407,0.6097560975609756,0.9302325581395348,0.9767441860465116,0.9397590361445785,0.8909090909090909,0.9430379746835444,0.8395061728395061,0.7935483870967742,1,
John Cappelletti,0.1438848920863309,0.3,0.6339869281045751,0.7834394904458599,0.9146341463414634,0.6511627906976745,0.5697674418604651,0.4939759036144578,0.6484848484848484,0,0.689873417721519
John Kuhn,0.2156862745098039,0.2317880794701986,0.4387096774193548,0.3566878980891719,0.577922077922078,0.6462585034013606,0.6792452830188679,0.7440476190476191,0.5964912280701754,0,0.5698324022346368
