Player,Year1,Year2,Year3,Retire,NextPercentile
Bobby Hoying,0.0111111111111111,0.3222222222222222,0.2808988764044944,0,0.4157303370786517
Bobby Scott,0.1282051282051282,0.4038461538461538,0.4615384615384615,0,0.5344827586206896
Boomer Esiason,0.1904761904761904,0.5609756097560976,0.9411764705882352,0,0.9765625
Brad Johnson,0.1358024691358024,0.2840909090909091,0.6555555555555556,0,0.8333333333333334
Brady Quinn,0.1276595744680851,0.3777777777777777,0.5903614457831325,0,0.4418604651162791
Brandon Weeden,0.1486486486486486,0.3857142857142857,0.5945945945945946,0,0.6575342465753424
Brett Favre,0.0,0.3,0.5063291139240507,0,0.9629629629629628
Brett Hundley,0.0,0.1232876712328767,0.1176470588235294,0,0.4084507042253521
Brett Rypien,0.0985915492957746,0.1756756756756756,0.1756756756756756,0,0.1388888888888889
Brian Dowling,0.282051282051282,0.3076923076923077,0.3076923076923077,0,0.0192307692307692
Brian Griese,0.0,0.2022471910112359,0.6333333333333333,0,0.8414634146341463
Brian Sipe,0.2692307692307692,0.4230769230769231,0.7758620689655172,0,0.8095238095238095
Brian St Pierre,0.0117647058823529,0.057471264367816,0.0898876404494382,0,0.0212765957446808
Brock Huard,0.2555555555555555,0.5,0.4698795180722891,0,0.4698795180722891
Brock Osweiler,0.054054054054054,0.3142857142857143,0.5,0,0.5068493150684932
Brodie Croyle,0.1235955056179775,0.2978723404255319,0.4666666666666667,0,0.6024096385542169
Brooks Bollinger,0.2,0.4022988505747126,0.5730337078651685,0,0.6914893617021277
Browning Nagle,0.1578947368421052,0.275,0.4050632911392405,0,0.3333333333333333
Bruce Gradkowski,0.1573033707865168,0.3297872340425531,0.3333333333333333,0,0.4216867469879518
Bruce Mathison,0.074074074074074,0.119047619047619,0.3292682926829268,0,0.2235294117647059
Bubby Brister,0.2117647058823529,0.3359375,0.5176470588235295,0,0.5121951219512195
Bucky Richardson,0.0,0.2531645569620253,0.4938271604938271,1,
Byron Leftwich,0.216867469879518,0.6941176470588235,0.9195402298850576,0,0.8876404494382022
C J Beathard,0.2191780821917808,0.4411764705882353,0.5070422535211268,0,0.4366197183098591
Caleb Hanie,0.0602409638554216,0.3023255813953488,0.4125,1,
Cam Newton,0.4,0.7297297297297297,0.9428571428571428,0,0.8378378378378378
Carson Palmer,0.2823529411764706,0.8160919540229885,0.9550561797752808,0,0.9680851063829788
Cary Conklin,0.3625,0.4683544303797468,0.5061728395061729,0,0.25
Case Keenum,0.2857142857142857,0.4594594594594595,0.6301369863013698,0,0.6805555555555556
Casey Weldon,0.0886075949367088,0.2962962962962963,0.5,0,0.4888888888888889
Chad Henne,0.1222222222222222,0.2891566265060241,0.5465116279069767,0,0.575
Chad Hutchinson,0.1927710843373494,0.2650602409638554,0.4,1,
Chad Pennington,0.2888888888888888,0.4756097560975609,0.8433734939759037,0,0.7951807228915663
Charlie Batch,0.3146067415730337,0.6741573033707865,0.8444444444444444,0,0.8048780487804879
Charlie Frye,0.2068965517241379,0.4044943820224719,0.3829787234042553,0,0.4333333333333333
