Player,Year1,Year2,Year3,Year4,Year5,Year6,Year7,Year8,Year9,Retire,NextPercentile
Don Majkowski,0.4453125,0.5058823529411764,0.7804878048780488,0.7468354430379747,0.6447368421052632,0.4625,0.2658227848101265,0.3580246913580246,0.5795454545454546,0,0.6111111111111112
Don Strock,0.0384615384615384,0.2884615384615384,0.5862068965517241,0.7301587301587301,0.6923076923076923,0.676923076923077,0.6956521739130435,0.704225352112676,0.4647887323943662,0,0.6296296296296297
Donovan Mcnabb,0.0898876404494382,0.5666666666666667,0.8658536585365854,0.9518072289156626,0.927710843373494,0.976470588235294,0.9540229885057472,0.9662921348314608,0.9574468085106383,0,0.9666666666666668
Doug Pederson,0.1012658227848101,0.074074074074074,0.0795454545454545,0.0555555555555555,0.0666666666666666,0.1797752808988764,0.3033707865168539,0.5222222222222223,0.3536585365853658,0,0.3373493975903614
Doug Williams,0.2461538461538461,0.6153846153846154,0.8695652173913043,0.971830985915493,0.9577464788732394,0.7654320987654321,0.3214285714285714,0.0609756097560975,0.0941176470588235,0,0.59375
Drew Bledsoe,0.1645569620253164,0.4814814814814814,0.7840909090909091,0.8444444444444444,0.9,0.9550561797752808,0.9438202247191012,0.8666666666666667,0.7195121951219512,0,0.7710843373493976
Drew Brees,0.2804878048780488,0.6144578313253012,0.8192771084337349,0.9058823529411764,0.9080459770114944,0.9887640449438202,0.9787234042553192,0.9888888888888888,1.0,0,0.9883720930232558
Drew Stanton,0.2333333333333333,0.3253012048192771,0.7325581395348837,0.4375,0.2297297297297297,0.0285714285714285,0.2972972972972973,0.3561643835616438,0.4722222222222222,0,0.3835616438356164
Eli Manning,0.1411764705882353,0.5057471264367817,0.7640449438202247,0.8617021276595744,0.8222222222222222,0.8313253012048193,0.8953488372093024,0.9,0.945945945945946,0,0.7857142857142857
Eric Hipple,0.2535211267605634,0.5352112676056338,0.7283950617283951,0.6666666666666666,0.6951219512195121,0.6823529411764706,0.6796875,0.4235294117647059,0.3414634146341463,1,
