PLAYER,YEARS_REVEALED,YARDS,RECEPTIONS,YARDS PER RECEPTION,RECEPTIONS PER TARGET,TOUCHDOWNS,20+,40+,LONG,RECEIVING 1ST DOWNS,1ST DOWN %,FUMBLES,YARDS AFTER CATCH,TARGETS,HOWGOOD RAW SCORE,PERCENTILE,ACTUAL_REMAINING_SEASONS,PREDICTED_REMAINING_SEASONS,RETIREMENT_DIFFERENCE,MEAN_PERCENTILE_DIFFERENCE
Stacey Bailey,5,1.3462746577055078,1.2326239282761022,0.7040605742282247,0.0,0.503968253968254,0.3162037037037037,0.3055555555555556,0.5837768129243296,0.6548349345105728,1.3817777777777778,-0.8888888888888888,0.0,0.0,6.140187309761138,0.8948096033784739,4,4,0,0.023988573774939126
Stacey Bailey,6,1.0676763545743628,1.0097833682739343,0.6711092292608892,0.0,0.3333333333333333,0.2568732193732194,0.18055555555555555,0.5252789302806452,0.5143019513933211,1.3564444444444443,-0.7777777777777778,0.0,0.0,5.137578608711927,0.8584805631977507,3,3,0,-0.0029545382167187975
Stacey Bailey,7,0.7289622589911253,0.6596863592761869,0.6864072311166113,0.0,0.22222222222222218,0.1919871794871795,0.1111111111111111,0.4989315530083705,0.3362175279468512,1.3993333333333333,-0.5555555555555556,0.0,0.0,4.279303220937436,0.8202583409755285,2,2,0,-0.052396883349322465
Stacey Bailey,8,0.6096473006170909,0.5008476893628656,0.7661131235203796,0.0,0.2063492063492063,0.17872150997150996,0.1388888888888889,0.5454509386028588,0.26169590643274854,1.5017777777777777,-0.4444444444444444,0.0,0.0,4.265047897078882,0.824665906084371,1,1,0,-0.03148085316304228
Stacy Robinson,3,0.3893362786229849,0.35272992434600303,0.441986164958442,0.0,0.19444444444444442,0.07407407407407407,0.04722222222222222,0.36392962090134123,0.21564327485380116,1.1868888888888889,-0.3333333333333333,0.0,0.0,2.932921559978869,0.6593089991195459,2,3,1,0.11762690603311221
Stacy Robinson,4,0.3385126884386578,0.31941004639938186,0.5481700666962813,0.0,0.24603174603174602,0.05925925925925924,0.049999999999999996,0.4252608819903923,0.19846491228070173,1.5822222222222222,-0.2222222222222222,0.0,0.0,3.5451096010964203,0.7469472966280533,1,2,1,0.1124816289129672
Stan Edwards,3,0.13441743853846766,0.28718046109350454,0.21974522635838115,0.0,0.03174603174603173,0.028935185185185164,0.0,0.21349902534113058,0.07252949488974332,0.5246666666666666,0.0,0.0,0.0,1.5127195298191107,0.3006116952587732,3,4,1,-0.010645990384068807
Stan Edwards,4,0.1808151937616186,0.3503859590816112,0.33503969123967525,0.0,0.047619047619047596,0.033179012345679,0.0,0.2792150564203937,0.09285823830337285,0.7566666666666667,0.0,0.0,0.0,2.075778865438065,0.42787307698433824,2,2,0,0.14160102895283783
Stan Edwards,5,0.19101592722073746,0.3529853964636573,0.35594944883303625,0.0,0.03174603174603173,0.030478395061728388,0.0,0.2856718282403975,0.08903239234502172,0.7415555555555555,0.0,0.0,0.0,2.0784349754661657,0.45097315121940407,1,2,1,-0.17712275740777467
Stanford Jennings,3,0.2953332921764868,0.43478260869565216,0.3254941964521512,0.0,0.23809523809523803,0.06273148148148147,0.041666666666666664,0.3161829979225581,0.1209845049130763,0.5988888888888888,0.0,0.0,0.0,2.4341598752921993,0.5074630576407766,6,5,-1,0.03730788267735562
Stanford Jennings,4,0.3390575446258722,0.5267827302281772,0.4252825256084429,0.0,0.26984126984126977,0.06109330484330483,0.027777777777777776,0.38314631711988884,0.16662937104666425,0.8713333333333333,0.0,0.0,0.0,3.070944174424731,0.6675922014830434,5,4,-1,0.09099504965106024
Stanford Jennings,5,0.3528542276725358,0.5573611816433801,0.50504797616916,0.0,0.2063492063492063,0.059918091168091145,0.013888888888888888,0.4203139028521014,0.18912608903210404,1.0624444444444445,0.0,0.0,0.0,3.367304008219912,0.719147757038599,4,3,-1,0.10955099694138727
Stanford Jennings,6,0.35326933410371913,0.5810383218094456,0.5005903530815161,0.0,0.15674603174603172,0.05480769230769227,0.013888888888888888,0.4145922790284377,0.2069931773879142,1.1202222222222222,0.0,0.0,0.0,3.4021483005758677,0.713436305064386,3,2,-1,0.18439814139280944
Stanford Jennings,7,0.27983209508778556,0.4372028291683501,0.5127849223380839,0.0,0.09126984126984126,0.04996438746438743,0.027777777777777776,0.3921341622310462,0.16191520467836254,1.1271111111111112,0.0,0.0,0.0,3.079992331126746,0.6264862831631822,2,2,0,0.28769355717828615
Stanford Jennings,8,0.1957438866748522,0.300268647776392,0.42672321435700594,0.0,0.0734126984126984,0.03377849002849001,0.041666666666666664,0.3165914560258629,0.11452241715399607,0.908,0.0,0.0,0.0,2.410707477095964,0.5188480402691253,1,1,0,0.23023065162962802
